Check for Updates...	Zkontrolovat aktualizace...
Paper tray	Zásobník papíru
[From printer settings]	[Z nastavení tiskárny]
Delete	Smazat
Move	Přesunout
Insert	Vložit
Replace	Nahradit
Apply attributes	Použít atributy
Reset attributes	Obnovit atributy
Indent	Odsadit
Apply Styles	Použít styly
Change Case	Změnit velikost písmen
Word is %x	Slovo je %x
Paragraph is %x	Odstavec je %x
Automatic	Automatická
Image bullet in paragraph	Odrážka s obrázkem v odstavci
Image bullet	Odrážka s obrázkem
Paragraph: $(ARG) 	Odstavec: $(ARG) 
Continue checking at beginning of document?	Pokračovat v kontrole od začátku dokumentu?
Continue checking at end of document?	Pokračovat v kontrole od konce dokumentu?
"Word cannot be added to dictionary
due to unknown reason."	"Z neznámého důvodu nelze
slovo přidat do slovníku."
The dictionary is already full.	Slovník je již plný.
The dictionary is read-only.	Slovník je jen pro čtení.
Indent	Odsadit
Show subpoints	Zobrazit podbody
Collapse	Skrýt všechno
Apply attributes	Použít atributy
Insert	Vložit
Open	Otevřít
Save as	Uložit jako
Save	Uložit
Path:	Cesta:
Select path	Vybrat cestu
Select	Vybrat
File Preview	Náhled souboru
My Documents	Dokumenty
"The file $name$ does not exist.
Make sure you have entered the correct file name."	"Soubor $name$ neexistuje.
Ujistěte se, že jste zadali správný název souboru."
Folder	Složka
"No removable storage device detected.
Make sure it is plugged in properly and try again."	"Žádné přenosné úložné zařízení nebylo nalezeno.
Ujistěte se, že je správně připojeno, a zkuste to znovu."
Servers...	Servery...
Connect To Server	Připojit se k serveru
Connect To Server	Připojit se k serveru
Create New Folder	Vytvořit novou složku
Create New Folder	Vytvořit novou složku
Places	Místa
Name	Název
Type	Typ
Size	Velikost
Date modified	Datum změny
File name:	Název souboru:
File type:	Typ souboru:
Read-only	Jen pro čtení
Save with password	Uložit s heslem
Automatic file name extension	Automatická přípona názvu souboru
Edit filter settings	Upravit nastavení filtru
Encrypt with GPG key	Zašifrovat klíčem GPG
Folder Name	Název složky
Name:	Název:
Create New Folder	Vytvořit novou složku
Add service	Přidat službu
Edit service	Upravit službu
Delete service	Smazat službu
Change password	Změnit heslo
Remote Files	Vzdálené soubory
Service:	Služba:
Manage services	Spravovat služby
List view	Pohled se seznamem
Icon view	Pohled s ikonami
Create New Folder	Vytvořit novou složku
Name	Název
Size	Velikost
Date modified	Datum změny
Filter	Filtr
File name	Název souboru
Automatic file name extension	Automatická přípona názvu souboru
Save with password	Uložit s heslem
Encrypt with GPG key	Zašifrovat klíčem GPG
Edit filter settings	Upravit nastavení filtru
Read-only	Jen pro čtení
Link	Odkaz
Preview	Náhled
Play	Přehrát
Version:	Verze:
Styles:	Styly:
Style:	Styl:
Anchor:	Ukotvení:
Selection	Výběr
File type:	Typ souboru:
Select Path	Vyberte cestu
Please select a folder.	Vyberte složku.
"A file named ""$filename$"" already exists.

Do you want to replace it?"	"Soubor s názvem ""$filename$"" již existuje.

Chcete ho přepsat?"
"Are you sure you want to delete the service?
""$servicename$"""	"Opravdu si přejete smazat tuto službu?
""$servicename$"""
Root	Kořen
All files	Všechny soubory
Open	Otevřít
File type	Typ souboru
Save	Uložit
Add service	Přidat službu
Places	Místa
A0	A0
A1	A1
A2	A2
A3	A3
A4	A4
A5	A5
B4 (ISO)	B4 (ISO)
B5 (ISO)	B5 (ISO)
Letter	Letter
Legal	Legal
Tabloid	Tabloid
User Defined	Uživatelsky definované
B6 (ISO)	B6 (ISO)
C4 Envelope	Obálka C4
C5 Envelope	Obálka C5
C6 Envelope	Obálka C6 
C6/5 Envelope	Obálka C6/5 
DL Envelope	Obálka DL
Dia Slide	Diapozitiv
Screen 4:3	Obrazovka 4:3
C	C
D	D
E	E
Executive	Executive
German Legal Fanfold	Německý skládaný legal
#8 (Monarch) Envelope	Obálka #8 (Monarch)
#6 3/4 (Personal) Envelope	Obálka #6 3/4 (osobní)
#9 Envelope	Obálka #9
#10 Envelope	Obálka #10
#11 Envelope	Obálka #11
#12 Envelope	Obálka #12
16 Kai (16k)	16 Kai (16k)
32 Kai	32 Kai
Big 32 Kai	Big 32 Kai
B4 (JIS)	B4 (JIS)
B5 (JIS)	B5 (JIS)
B6 (JIS)	B6 (JIS)
Ledger	Ledger
Statement	Statement
Quarto	Quarto
10x14	10x14
#14 Envelope	Obálka #14
C3 Envelope	Obálka C3
Italian Envelope	Italská obálka
U.S. Standard Fanfold	Americký standardní skládaný
German Standard Fanfold	Německý standardní skládaný
Japanese Postcard	Japonská pohlednice
9x11	9x11
10x11	10x11
15x11	15x11
Invitation Envelope	Obálka pozvání
SuperA	SuperA
SuperB	SuperB
Letter Plus	Letter Plus
A4 Plus	A4 Plus
Double Postcard	Dvojitá pohlednice
A6	A6
12x11	12x11
A7	A7
A8	A8
A9	A9
A10	A10
B0 (ISO)	B0 (ISO)
B1 (ISO)	B1 (ISO)
B2 (ISO)	B2 (ISO)
B3 (ISO)	B3 (ISO)
B7 (ISO)	B7 (ISO)
B8 (ISO)	B8 (ISO)
B9 (ISO)	B9 (ISO)
B10 (ISO)	B10 (ISO)
C2 Envelope	C2 Obálka
C7 Envelope	C7 obálka
C8 Envelope	C8 obálka
Arch A	Arch A
Arch B	Arch B
Arch C	Arch C
Arch D	Arch D
Arch E	Arch E
Screen 16:9	Obrazovka 16:9
Screen 16:10	Obrazovka 16:10
16k (195 x 270)	16k (195 x 270)
16k (197 x 273)	16k (197 x 273)
Preview	Náhled
Page number	Číslo stránky
Number of pages	Počet stránek
More	Více
Print selection only	Tisk pouze výběru
<No selection possible>	<Výběr není možný>
Services	Služby
Hide %PRODUCTNAME	Skrýt %PRODUCTNAME
Hide Others	Skrýt ostatní
Show All	Zobrazit vše
Quit %PRODUCTNAME	Ukončit %PRODUCTNAME
Close	Zavřít
Minimize	Minimalizovat
Maximize	Maximalizovat
Restore	Obnovit
Drop down	Rozbalit
Roll up	Srolovat
Help	Nápověda
Take and annotate a screenshot	Vytvořit snímek obrazovky s poznámkami
Show	Zobrazit
Hide	Skrýt
Close Document	Zavřít dokument
OK	OK
Cancel	Zrušit
OK	OK
Cancel	Zrušit
Yes	Ano
No	Ne
Retry	Zkusit znovu
Help	Nápověda
Close	Zavřít
More	Více
Ignore	Ignorovat
Abort	Přerušit
Less	Méně
Reset	Obnovit
Add	Přidat
Delete	Smazat
Remove	Odstranit
New	Nová
Edit	Upravit
Apply	Použít
Save	Uložit
Undo	Zpět
Paste	Vložit
Next	Další
Previous	Předchozí
Up	Nahoru
Down	Dolů
Clear	Vymazat
Open	Otevřít
Play	Přehrát
Find	Najít
Stop	Zastavit
Connect	Připojit
Screenshot	Snímek obrazovky
"The component (%s) could not be loaded.
Please start setup with the repair option."	"Komponentu (%s) nelze načíst.
Spusťte instalaci v režimu opravy."
About %PRODUCTNAME	O aplikaci %PRODUCTNAME
Preferences...	Předvolby...
Any type	Všechny
Automatic file name extension	Automatická přípona názvu souboru
Save with password	Uložit s heslem
Encrypt with GPG key	Zašifrovat klíčem GPG
Edit filter settings	Upravit nastavení filtru
Read-only	Jen pro čtení
Insert as Link	Vložit jako odkaz
Preview	Náhled
Play	Přehrát
Version:	Verze:
Styles:	Styly:
Frame Style: 	Styl rámce: 
Anchor: 	Ukotvení:
Selection	Výběr
Select Path	Vyberte cestu
Please select a folder.	Vyberte složku.
"A file named ""$filename$"" already exists. Do you want to replace it?"	"Soubor s názvem ""$filename$"" již existuje. Chcete ho nahradit?"
"The file already exists in ""$dirname$"". Replacing it will overwrite its contents."	"Soubor již existuje v ""$dirname$"". Nahrazením přepíšete jeho obsah."
All Formats	Všechny formáty
Open	Otevřít
Save	Uložit
File type	Typ souboru
No fonts could be found on the system.	V systému nebyla nalezena žádná písma.
No pages	Žádné stránky
Preview is disabled	Náhled je zakázaný
Print to File...	Tisk do souboru...
Default printer	Výchozí tiskárna
Please enter the fax number	Zadejte číslo faxu
Custom	Vlastní
The inserted text exceeded the maximum length of this text field. The text was truncated.	Délka vloženého textu překročila maximální délku v tomto poli. Text byl zkrácen.
CPU threads: 	Vlákna CPU: 
OS: 	OS: 
UI render: 	Vykreslování UI: 
GL	GL
default	výchozí
Information	Informace
Warning	Upozornění
Error	Chyba
Confirmation	Potvrzení
delete line	smazat řádek
delete multiple lines	smazat více řádků
insert multiple lines	vložit více řádků
insert '$1'	vložit $1
delete '$1'	smazat $1
Row: %1, Column: %2	Řádek: %1, Sloupec: %2
Empty Field	Prázdné pole
Day	Den
Week	Týden
Today	Dnes
Steps	Kroky
Finish	Dokončit
Next >	Další >
< Back	< Zpět
mm	mm
cm	cm
m	m
km	km
twips	twipy
twip	twip
pt	pt
pc	pc
″	″
""""	""""
in	in
inch	palec
'	'
ft	ft
foot	stopa
feet	stop
miles	mil
mile	míle
ch	zn
line	řádek
pixels	pixelů
pixel	pixel
°	°
sec	s
ms	ms
Access All Alternates	Přístup ke všem alternativám
Alternative (Vertical) Fractions	Alternativní (svislé) zlomky
Ancient Ligatures	Starověké slitky
Capitals to Petite Capitals	Velká písmena na petitové kapitálky
Capitals to Small Capitals	Velká písmena na kapitálky
Contextual Alternates	Kontextové alternativy
Case-Sensitive Forms	Formy vyhovující velkým písmenům
Contextual Ligatures	Kontextové slitky
Centered CJK Punctuation	Vystředěná interpunkce CJK
Capital Spacing	Rozestupy velkých písmen
Contextual Swash	Kontextové koncové tahy
Character Variant %1	Varianta znaku %1
Drop Caps	Iniciály
Discretionary Ligatures	Volitelné slitky
Denominators	Jmenovatelé
Diphthongs (Obsolete)	Dvojhlásky (zastaralé)
Expert Forms	Expertní formy
Final Glyph on Line Alternates	Alternativní glyfy pro konce řádků
Fraction style:	Styl zlomku:
Diagonal Fractions	Úhlopříčné zlomky
Nut Fractions	Vodorovné zlomky
Full Widths	Plné šířky
Alternate Half Widths	Alternativní poloviční šířky
Historical Forms	Historické formy
Horizontal Kana Alternates	Vodorovné alternativy kana
Historical Ligatures	Historické slitky
Hanja to Hangul (Obsolete)	Handža na hangul (zastaralé)
Hojo Kanji Forms (JIS X 0212-1990 Kanji Forms)	Formy hodžó kandži (formy kandži JIS X 0212-1990)
Half Widths	Poloviční šířky
Italics	Kurzíva
Justification Alternates	Alternativy zarovnání
JIS2004 Forms	Formy JIS2004
JIS78 Forms	Formy JIS78
JIS83 Forms	Formy JIS83
JIS90 Forms	Formy JIS90
Horizontal Kerning	Vodorovný kerning
Left Bounds	Vystrčení vlevo
Standard Ligatures	Standardní slitky
Lining Figures	Verzálkové číslice
Mathematical Greek	Matematické řecké
Alternate Annotation Forms	Alternativní anotační formy
NLC Kanji Forms	Formy NLC kandži
Numerators	Čitatelé
Oldstyle Figures	Skákavé číslice
Optical Bounds	Optické vystrčení
Ordinals	Řadové číslovky
Ornaments	Ornamenty
Proportional Alternate Metrics	Proporcionální alternativní metriky
Lowercase to Petite Capitals	Malá písmena na petitové kapitálky
Proportional Kana	Proporcionální kana
Proportional Numbers	Proporcionální číslice
Proportional Widths	Proporcionální šířky
Quarter Widths	Čtvrtinové šířky
Right Bounds	Vystrčení vpravo
Ruby Notation Forms	Formy notace ruby
Stylistic Alternates	Stylové alternativy
Scientific Inferiors	Vědecké dolní indexy
Lowercase to Small Capitals	Malá písmena na kapitálky
Simplified Forms	Zjednodušené formy
Stylistic Set %1	Stylová sada %1
Subscript	Dolní index
Superscript	Horní index
Swash	Koncové tahy
Titling	Nadpisy
Traditional Name Forms	Tradiční formy pro jména
Tabular Numbers	Tabulární číslice
Traditional Forms	Tradiční formy
Third Widths	Třetinové šířky
Unicase	Jednotná velikost
Alternate Vertical Metrics	Alternativní svislé metriky
Alternate Vertical Half Metrics	Alternativní svislé poloviční metriky
Vertical Kana Alternates	Svislé alternativy kana
Vertical Kerning	Svislý kerning
Proportional Alternate Vertical Metrics	Proporcionální alternativní svislé metriky
Vertical Alternates and Rotation	Svislé alternativy a otočení
Vertical Alternates for Rotation	Svislé alternativy pro otočení
Slashed Zero	Přeškrtnutá nula
See Log: $GITHASH	Viz protokol změn: $GITHASH
Authentication Request	Požadavek na autentizaci
User:	Uživatel:
Password:	Heslo:
Please enter your authentication data for server “%s”	Zadejte autentizační údaje pro server „%s“
Domain:	Doména:
Undo	Zpět
Cut	Vyjmout
Copy	Kopírovat
Paste	Vložit
Delete	Smazat
Select All	Vybrat vše
Special Character...	Speciální znak...
%PRODUCTNAME	%PRODUCTNAME
There are no pages to be printed.	K tisku nejsou vybrány žádné stránky.
Please check your document for ranges relevant to printing.	Zkontrolujte v dokumentu odpovídající oblasti pro tisk.
%PRODUCTNAME	%PRODUCTNAME
No default printer found.	Nebyla nalezena žádná výchozí tiskárna.
Please choose a printer and try again.	Vyberte tiskárnu a akci opakujte.
More Printing Options	Více možností tisku
Create separate print jobs for collated output	Vytvořit samostatné tiskové úlohy pro seřazený výstup
Print	Tisk
More Options...	Další možnosti...
Print preview	Náhled tisku
Last page	Poslední stránka
Next page	Další strana
/ %n	/ %n
Previous page	Předchozí strana
First page	První stránka
Preview	Náhled
Status:	Stav:
Default Printer	Výchozí tiskárna
Properties...	Vlastnosti...
Printer	Tiskárna
All pages	Všechny stránky
Pages:	Strany:
e.g.: 1, 3-5, 7, 9	např.: 1, 3-5, 7, 9
Even pages	Sudé stránky
Odd pages	Liché stránky
From which print:	Odkud tisknout:
Paper sides:	Strany papíru:
Print on one side (simplex)	Tisknout jednostranně
Print on both sides (duplex long edge)	Tisknout oboustranně (dlouhý okraj)
Print on both sides (duplex short edge)	Tisknout oboustranně (krátký okraj)
Number of copies:	Počet kopií:
Print in reverse order	Vytisknout v opačném pořadí
Collate	Seřadit
Order:	Pořadí:
Selection	Výběr:
Range and Copies	Rozsah a kopie
Orientation:	Orientace:
Paper size:	Velikost papíru:
Order:	Pořadí:
Left to right, then down	Zleva doprava, potom dolů
Top to bottom, then right	Shora dolů, potom vpravo
Top to bottom, then left	Shora dolů, potom vlevo
Right to left, then down	Zprava doleva, potom dolů
Collation preview	Náhled řazení
Automatic	Automaticky
Portrait	Na výšku
Landscape	Na šířku
Margin:	Okraj:
Distance:	Vzdálenost:
between pages	mezi stránkami
to sheet border	k okraji listu
Brochure	Příručka
by	x
Draw a border around each page	Nakreslit okraj kolem každé stránky
Pages per sheet:	Stránek na list:
Pages:	Strany:
Custom	Vlastní
Page Layout	Rozvržení stránky
General	Obecné
Option:	Možnost:
Current value:	Aktuální hodnota:
Color depth:	Barevná hloubka:
Color:	Barva:
Printer language type:	Typ tiskového jazyka:
Automatic : %s	Automaticky: %s
PostScript (Level from driver)	PostScript (úroveň z ovladače)
PostScript Level 1	PostScript, úroveň 1
PostScript Level 2	PostScript, úroveň 2
PostScript Level 3	PostScript, úroveň 3
PDF	PDF
From driver	Z ovladače
Color	Barva
Grayscale	Stupně šedi
8 Bit	8 bitů
24 Bit	24 bitů
Paper size:	Velikost papíru:
Orientation:	Orientace:
Duplex:	Duplex:
Paper tray:	Zásobník papíru:
Portrait	Na výšku
Landscape	Na šířku
Use only paper size from printer preferences	Použít pouze velikost papíru z předvoleb tiskárny
Properties of %s	Vlastnosti %s
Paper	Papír
Device	Zařízení
Printing	Probíhá tisk
Page %p of %n	Stránka %p z %n
New Data Type	Nový datový typ
Print only in one side	Tisknout pouze na jednu stranu
Print in both sides (long edge)	Tisk oboustranně (dlouhý okraj)
Print in both sides (short edge)	Tisk oboustranně (krátký okraj)
<ignore>	<ignorovat>
Print preview	Náhled tisku
custom	vlastní
Browse	Procházet
Expand	Rozbalit
Collapse	Sbalit
Check	Zaškrtnout
Uncheck	Zrušit zaškrtnutí
Vertical scroll bar	Svislý posuvník
Horizontal scroll bar	Vodorovný posuvník
Please press enter to go into child control for more operations	Stisknutím klávesy Enter přejdete na ovládací prvek nabízející více operací
Column %COLUMNNUMBER	Sloupec %COLUMNNUMBER
Row %ROWNUMBER	Řádek %ROWNUMBER
Drawing object	Objekt kresby
Drawing objects	Objekty kresby
Group object	Skupinový objekt
Group objects	Skupinové objekty
Blank group object	Prázdný skupinový objekt
Blank group objects	Prázdné skupinové objekty
Line	Čára
Horizontal line	Vodorovná čára
Vertical line	Svislá čára
Diagonal line	Úhlopříčná čára
Lines	Čáry
Rectangle	Obdélník
Rectangles	Obdélníky
Square	Čtverec
Squares	Čtverce
Parallelogram	Rovnoběžník
Parallelograms	Rovnoběžníky
Rounded rectangle	Zaoblený obdélník
Rounded Rectangles	Zaoblené obdélníky
rounded square	zaoblený čtverec
Rounded Squares	Zaoblené čtverce
Rounded Parallelogram	Zaoblený rovnoběžník
Rounded parallelograms	Zaoblené rovnoběžníky
Circle	Kruh
Circles	Kruhy
Circle sector	Kruhová výseč
Circle sectors	Kruhové výseče
Arc	Oblouk
Arcs	Oblouky
Circle segment	Kruhová úseč
Circle segments	Kruhové úseče
Ellipse	Elipsa
Ellipses	Elipsy
Ellipse Pie	Eliptická výseč
Ellipse Pies	Eliptické výseče
Elliptical arc	Eliptický oblouk
Elliptical arcs	Eliptické oblouky
Ellipse Segment	Eliptická úseč
Ellipse Segments	Eliptické úseče
Polygon	Mnohoúhelník
Polygon %2 corners	Mnohoúhelník s %2 body
Polygons	Mnohoúhelníky
Polyline	Lomená čára
Polyline with %2 corners	Lomená čára s %2 body
Polylines	Lomené čáry
Bézier curve	Bézierova křivka
Bézier curves	Bézierovy křivky
Bézier curve	Bézierova křivka
Bézier curves	Bézierovy křivky
Freeform Line	Čára od ruky
Freeform Lines	Čáry od ruky
Freeform Line	Čára od ruky
Freeform Lines	Čáry od ruky
Curve	Křivka
Natural Spline	Přirozená křivka
Natural Splines	Přirozené křivky
Periodic Spline	Periodická křivka
Periodic Splines	Periodické křivky
Text Frame	Textový rámec
Text Frame	Textový rámec
Linked text frame	Textový rámec s odkazem
Linked text frames	Textový rámec s odkazem
Title text	Úvodní text
Title texts	Úvodní texty
Outline Text	Text osnovy
Outline Texts	Texty osnovy
Image	Obrázek
Images	Obrázky
Linked image	Odkaz na obrázek
Linked images	Odkazy na obrázky
Blank image object	Prázdný obrázek
Blank image objects	Prázdné obrázky
Blank linked image	Prázdný odkaz na obrázek
Blank linked images	Prázdné odkazy na obrázky
Metafile	Metasoubor
Metafiles	Metasoubory
Linked Metafile	Metasoubor s odkazem
Linked Metafiles	Metasoubory s odkazy
Image	Obrázek
Image with transparency	Obrázek s průhledností
Linked Image	Odkaz na obrázek
Linked image with transparency	Odkaz na obrázek s průhledností
Images	Obrázky
Images with transparency	Obrázky s průhledností
Linked images	Odkazy na obrázky
Linked images with transparency	Odkazy na obrázky s průhledností
Shape	Tvar
Shapes	Tvary
SVG	SVG
SVGs	SVG
WMF	WMF
WMFs	WMF
EMF	EMF
EMFs	EMF
embedded object (OLE)	vložený objekt (OLE)
Embedded objects (OLE)	vložené objekty (OLE)
Control	Ovládací prvek
Controls	Ovládací prvky
Frame	Rámec
Frames	Rámce
Object Connectors	Spojnice objektu
Object Connectors	Spojnice objektu
Callout	Bublina
Callouts	Bubliny
Preview object	Náhled objektu
Preview objects	Náhled objektů
Dimension line	Kótovací čára
Dimensioning objects	Kótované objekty
Drawing objects	Objekty kresby
No draw object	Bez kreseb
Draw object(s)	Objekty kresby
3D cube	3D krychle
3D cubes	3D krychle
Extrusion object	Plastický objekt
Extrusion objects	Plastické objekty
Rotation object	Rotační objekt
Rotation objects	Rotační objekty
3D object	3D objekt
3D objects	3D objekty
3D scene	3D scéna
3D scenes	3D scény
Sphere	Koule
Spheres	Koule
with copy	s kopírováním
Set position and size for %1	Nastavit umístění a velikost %1
Delete %1	Smazat %1
Move %1 forward	Přesunout %1 blíž
Move %1 further back	Přesunout %1 dál
Move %1 to front	Přesunout %1 dopředu
Move %1 to back	Přesunout %1 dozadu
Reverse order of %1	Převrátit pořadí u %1
Move %1	Přesunout %1
Resize %1	Změnit velikost %1
Rotate %1	Otočit %1
Flip %1 horizontal	Překlopit %1 vodorovně
Flip %1 vertical	Překlopit %1 svisle
Flip %1 diagonal	Překlopit %1 úhlopříčně
Flip %1 freehand	Překlopit %1 dle libosti
Distort %1 (slant)	Deformovat %1 (zkosit)
Arrange %1 in circle	Uspořádat %1 do kruhu
Curve %1 in circle	Zakřivit %1 do kruhu
Distort %1	Deformovat %1
Undo %1	Zpět %1
Modify bézier properties of %1	Upravit vlastnosti bézierovy křivky %1
Modify bézier properties of %1	Upravit vlastnosti bézierovy křivky %1
Set exit direction for %1	Nastavit směr výstupu pro %1
Set relative attribute at %1	Nastavit relativní atribut pro %1
Set reference point for %1	Nastavit referenční bod pro %1
Group %1	Seskupit %1
Ungroup %1	Zrušit skupinu %1
Apply attributes to %1	Použít atributy na %1
Apply Styles to %1	Použít styly na %1
Remove Style from %1	Odstranit styl z %1
Convert %1 to polygon	Převést %1 na mnohoúhelník
Convert %1 to polygons	Převést %1 na mnohoúhelníky
Convert %1 to curve	Převést %1 na křivku
Convert %1 to curves	Převést %1 na křivky
Convert %1 to contour	Převést %1 na obrys
Convert %1 to contours	Převést %1 na obrysy
Align %1	%1 zarovnat
Align %1 to top	Zarovnat %1 nahoru
Align %1 to bottom	Zarovnat %1 dolů
Horizontally center %1	Vodorovně na střed %1
Align %1 to left	Zarovnat %1 vlevo
Align %1 to right	Zarovnat %1 vpravo
Vertically center %1	Svisle na střed %1
Center %1	Na střed %1
Transform %1	Transformovat %1
Combine %1	Kombinovat %1
Merge %1	Sloučit %1
Subtract %1	Odečíst %1
Intersect %1	Protnout %1
Distribute selected objects	Distribuovat vybrané objekty
Equalize Width %1	Sjednotit šířku %1
Equalize Height %1	Sjednotit výšku %1
Combine %1	Kombinovat %1
Split %1	Rozdělit %1
Split %1	Rozdělit %1
Split %1	Rozdělit %1
Insert object(s)	Vložit objekty
Insert point to %1	Vložit bod do %1
Insert glue point to %1	Vložit záchytný bod %1
Move reference-point	Přesunout odkaz
Geometrically change %1	Geometricky změnit %1
Move %1	Přesunout %1
Resize %1	Změnit velikost %1
Rotate %1	Otočit %1
Flip %1 horizontal	Překlopit %1 vodorovně
Flip %1 vertical	Překlopit %1 svisle
Flip %1 diagonal	Překlopit %1 úhlopříčně
Flip %1 freehand	Překlopit %1 dle libosti
Interactive gradient for %1	Interaktivní přechod barev pro %1
Interactive transparency for %1	interaktivní průhlednost pro %1
Distort %1 (slant)	Deformovat %1 (zkosit)
Arrange %1 in circle	Uspořádat %1 do kruhu
Curve %1 in circle	Zakřivit %1 do kruhu
Distort %1	Deformovat %1
Crop %1	Oříznout %1
Alter radius by %1	Změnit poloměr o %1
Change %1	Změnit %1
Resize %1	Změnit velikost %1
Move %1	Přesunout %1
Move end point of %1	Přesunout poslední bod %1
Adjust angle by %1	Změnit úhel o %1
Change %1	Změnit %1
TextEdit: Paragraph %1, Row %2, Column %3	Editor textu: Odstavec %1, Řádek %2, Sloupec %3
%1 selected	Vybráno %1
Point from %1	Bod z %1
%2 points from %1	%2 bodů z %1
Glue point from %1	Záchytný bod z %1
%2 glue points from %1	%2 záchytných bodů z %1
Mark objects	Označit objekty
Mark additional objects	Označit další objekty
Mark points	Označit body
Mark additional points	Označit další body
Mark glue points	Označit záchytné body
Mark additional glue points	Označit další záchytné body
Create %1	Vytvořit %1
Insert %1	Vložit %1
Copy %1	Kopírovat %1
Change object order of %1	Změnit pořadí objektu %1
Edit text of %1	Upravit text %1
Insert page	Vložit stránku
Delete page	Smazat stránku
Copy page	Kopírovat stránku
Change order of pages	Změnit pořadí stránek
Clear background page assignment	Odstranit přiřazení
Change background page assignment	Změnit přiřazení stránky s pozadím
Insert document	Vložit dokument
Insert Layer	Vložit vrstvu
Delete layer	Smazat vrstvu
Change order of layers	Změnit pořadí vrstev
Change object name of %1 to	Změnit název objektu %1
Change object title of %1	Změnit titulek objektu %1
Change object description of %1	Změnit popis objektu %1
on	zapnout
off	vypnuto
yes	ano
No	Ne
Type 1	Typ 1
Type 2	Typ 2
Type 3	Typ 3
Type 4	Typ 4
Horizontal	Vodorovné zarovnání
Vertical	Svislé
Automatic	Automaticky
Off	Vypnout
Proportional	Proporcionální
Fit to size (all rows separately) 	Přizpůsobit velikosti (všechny řádky odděleně) 
Use hard attributes	Použít pevné atributy
Top	Nahoře
Center	Uprostřed
Bottom	Dole
Use entire height	Použít celou výšku
Stretched	Roztáhnuté
Left	Vlevo
Center	Uprostřed
Right	Vpravo
Use entire width	Použít celou šířku
Stretched	Roztáhnuté
off	vypnuto
flash	blikat
Scroll Through	Rolovat dokola
alternating	Tam a zpět
Scroll In	Rolovat dovnitř
left	vlevo
up	nahoru
right	vpravo
down	dolů
Standard Connector	Běžná spojnice
Line Connector	Čárová spojnice
Straight Connector	Přímá spojnice
Curved Connector	Zakřivená spojnice
Standard	Standardní
Radius	Poloměr
automatic	automatický
left outside	vně vlevo
inside (centered)	uvnitř (uprostřed)
right outside	vně vpravo
automatic	automatický
on the line	na čáře
broken line	přerušená čára
below the line	pod čarou
centered	vystředěno
full circle	Celý kruh
Circle Pie	Kruhová výseč
Circle segment	Kruhová úseč
Arc	Oblouk
Unknown attribute	Neznámý atribut
Line style	Styl čáry
Line pattern	Vzor čáry
Line width	Šířka čáry
Line color	Barva čáry
Line head	Začátek čáry
Line end	Konec čáry
Line head width	Šířka začátku čáry
Line end width	Šířka konce čáry
Center arrowhead	Vystředěný začátek
Center arrowend	Vystředěný konec
Line transparency	Průhlednost čáry
Line joint	Spojení čar
Line attributes	Atributy čáry
Fill style	Styl výplně
Fillcolor	Barva výplně
Gradient	Přechod
Hatching	Šrafování
Fillbitmap	Rastrová výplň
Transparency	Průhlednost
Number of gradient steps	Počet kroků gradientu
Tile fill	Rastry vedle sebe
Fillbitmap position	Umístění rastrové výplně
Fillbitmap width	Šířka rastrové výplně
Height of fillbitmap	Výška rastrové výplně
Transparent gradient	Průhledný přechod
Fill reserved for 2	Výplň vyhrazena pro 2
Tile size not in %	Velikost dlaždic není v %
Tile offset X in %	Odstup dlaždice X v %
Tile offset Y in %	Odstup dlaždice Y v %
Bitmap scaling	Přizpůsobení velikosti rastru
Tile position X in %	Umístění dlaždic X v %
Tile position Y in %	Umístění dlaždic Y v %
Background fill	Výplň pozadí
Area attributes	Atributy oblasti
Fontwork style	Styl písmomalby
Fontwork alignment	Zarovnání písmomalby
Fontwork spacing	Odsazení písmomalby
Fontwork font begin	Začátek písmomalby
Fontwork mirror	Zrcadlení písmomalby
Fontwork outline	Obrysy písmomalby
Fontwork shadow	Stínování písmomalby
Fontwork shadow color	Barva stínů písmomalby
Fontwork shadow offset X	Stínování písmomalby offset X
Fontwork shadow offset Y	Stínování písmomalby offset Y
Hide fontwork outline	Skrýt obrysy písmomalby
Fontwork shadow transparency	Průhledné stínování písmomalby
Shadow	Stín
Shadow color	Barva stínování
Shadow spacing X	Odstup stínu X
Shadow spacing Y	Odstup stínu Y
Shadow transparency	Průhlednost stínování
3D shadow	3D stín
Perspective shadow	Perspektivní stínování
Type of legend	Druh popisku
Fixed legend angle	Pevný úhel popisku
Legend angle	Úhel popisku
Legend lines spacing	Řádkování legendy
Legend exit alignment	Směr zarovnání popisků
Relative exit legend	Relativní pozice odchodu
Relative exit legend	Relativní pozice odchodu
Absolute exit of legend	Absolutní pozice odchodu
Legend line length	Délka řádku s popiskem
AutoLength of legend lines	Automatická délka řádku s popiskem
Corner radius	Poloměr rohu
Minimal frame height	Minimální výška rámce
AutoFit height	Automatická úprava výšky
Fit text to frame	Přizpůsobit text rámci
Left text frame spacing	Vzdálenost rámce textu vlevo
Right text frame spacing	Vzdálenost rámce textu vpravo
Upper text frame spacing	Vzdálenost rámce textu nahoře
Lower text frame spacing	Vzdálenost rámce textu dole
Vertical text anchor	Svislé ukotvení textu
Maximal frame height	Maximální výška rámce
Minimal frame width	Minimální šířka rámce
Maximal frame width	Maximální šířka rámce
AutoFit width	Automatická úprava šířky
