on	zapnout
Insert as Copy	Vložit jako kopii
Insert as hyperlink	Vložit jako hypertextový odkaz
Insert as Hyperlink	Vložit jako hypertextový odkaz
Insert as	Vložit jako
Insert as	Vložit jako
Insert Y Error Bars...	Vložit chybové úsečky Y...
Insert X Error Bars...	Vložit chybové úsečky X...
Insert Hyperlink	Vložit hypertextový odkaz
Insert Major Grid	Vložit hlavní mřížku
Embed Graphic	Vložit grafiku
Insert %PRODUCTNAME Chart	Vložit graf %PRODUCTNAME
Insert Chart	Vložit graf
Insert Function into calculation sheet	Vložit funkci do listu s výpočty
Insert Movie	Vložit film
Insert document	Vložit dokument
Insert in container	Vložit do kontejneru
Embed fonts in the document	Vložit do dokumentu písma
Include Date	Vložit datum
Insert Database Columns	Vložit databázové sloupce
Insert data as:	Vložit data jako:
Insert data	Vložit data
Insert numbering	Vložit číslování
Include Time	Vložit čas
Insert Cells...	Vložit buňky...
Insert Cells Right	Vložit buňky vpravo
Insert Cells Down	Vložit buňky dolů
Insert Cells	Vložit buňky
Insert cell	Vložit buňku
Insert Cell	Vložit buňku
In‌sert cell	Vložit buňku
Insert Points	Vložit body
Insert Points	Vložit body
Insert point to %1	Vložit bod do %1
Insert Point	Vložit bod
Insert address block	Vložit blok s adresou
Insert AutoText	Vložit automatický text
Insert Applet	Vložit applet
Insert Current Date	Vložit aktuální datum
Insert Current Time	Vložit aktuální čas
Insert $1	Vložit $1
insert '$1'	vložit $1
Insert %1	Vložit %1
Embed	Vložit
Paste	Vložit
Insert	Vložit
Paste	Vložit
Insert	Vložit
Inserts a separator between thousands.	Vloží oddělovač mezi tisíce.
linked embedded object (OLE)	vložený objekt s odkazem (OLE)
embedded object (OLE)	vložený objekt (OLE)
Inserted	Vloženo
Paste link already performed.	Vložení odkazu již provedeno.
Insertion	Vložení
Linked embedded objects (OLE)	Vložené objekty s odkazem (OLE)
Inserted drawing objects:	Vložené objekty kresby:
Embedded objects (OLE)	vložené objekty (OLE)
Embedded objects	Vložené objekty
Inserted drawing objects:	Vložené kreslící objekty:
VLOOKUP	VLOOKUP
Wave (Bold)	Vlnka (tučně)
Wave	Vlnka
Wave	Vlnité
S-shaped Arrow	Vlnitá šipka
left|turnleft|lt	vlevo|vl
Left/Top	Vlevo/Nahoru
Left:	Vlevo:
Left;Middle;Right	Vlevo;Uprostřed;Vpravo
Left center	Vlevo uprostřed
Left centered	Vlevo uprostřed
Below left	Vlevo pod
Left top	Vlevo nahoře
Left up	Vlevo nahoru
Top left	Vlevo nahoru
Above left	Vlevo nad
Left down	Vlevo dolů
Bottom left	Vlevo dolů
Bottom Left	Vlevo dole
Left bottom	Vlevo dole
left 	vlevo 
left	vlevo
Left	Vlevo
Left	Vlevo
Before	Vlevo
Left area	Vlevo
at the left	vlevo
Fly In	Vlétnout
ShareOwned	VlastPodíl
Properties...	Vlastnosti...
Properties...	Vlastnosti...
Properties: 	Vlastnosti: 
Properties:	Vlastnosti:
Properties: 	Vlastnosti:
Data Source Properties: #	Vlastnosti zdroje dat: #
VBA Properties	Vlastnosti VBA
Table Properties...	Vlastnosti tabulky...
Table properties	Vlastnosti tabulky
Join Properties	Vlastnosti spojení (join)
Frame Properties	Vlastnosti rámce
Field Properties	Vlastnosti pole
Floating Frame Properties	Vlastnosti plovoucího rámce
Drawing Object Properties	Vlastnosti objektu kresby
JDBC properties	Vlastnosti JDBC
Language Features	Vlastnosti jazyka
Form Properties	Vlastnosti formuláře
Query Properties	Vlastnosti dotazu
Document Properties	Vlastnosti dokumentu
Database properties	Vlastnosti databáze
Line properties	Vlastnosti čáry
CMIS Properties	Vlastnosti CMIS
CMIS Properties	Vlastnosti CMIS
Properties of %s	Vlastnosti %s
Properties 	Vlastnosti 
Properties of 	Vlastnosti 
Properties	Vlastnosti
Properties	Vlastnosti
Property or method not found: $(ARG1).	Vlastnost nebo metoda nenalezena: $(ARG1).
Property	Vlastnost
Property	Vlastnost
Custom...	Vlastní...
Custom: *.abc	Vlastní: *.abc
Custom:	Vlastní:
Custom footer	Vlastní zápatí
Custom header	Vlastní záhlaví
Custom Properties	Vlastní vlastnosti
Custom Styles	Vlastní styly
Custom Sort	Vlastní řazení
User Index 9	Vlastní rejstřík 9
User Index 8	Vlastní rejstřík 8
User Index 7	Vlastní rejstřík 7
User Index 6	Vlastní rejstřík 6
User Index 5	Vlastní rejstřík 5
User Index 4	Vlastní rejstřík 4
User Index 3	Vlastní rejstřík 3
User Index 2	Vlastní rejstřík 2
User Index 10	Vlastní rejstřík 10
User Index 1	Vlastní rejstřík 1
Custom Slide Show...	Vlastní prezentace...
Custom Slide Show:	Vlastní prezentace:
Custom Screen Show	Vlastní prezentace
Custom Slide Show	Vlastní prezentace
Custom sort order	Vlastní pořadí řazení
Custom sort order	Vlastní pořadí řazení
Info fields...	Vlastní položky...
Alt. Field 4	Vlastní pole 4
Alt. Field 3	Vlastní pole 3
Alt. Field 2	Vlastní pole 2
Alt. Field 1	Vlastní pole 1
Custom fonts	Vlastní písma
Custom Salutation (Female Recipients)	Vlastní oslovení (pro ženy)
Custom Salutation (Male Recipients)	Vlastní oslovení (pro muže)
Own image	Vlastní obrázek
Own Theme	Vlastní motiv vzhledu
Own Persona	Vlastní motiv Personas
Custom format	Vlastní formát
Custom format	Vlastní formát
Custom hyphens	Vlastní dělení slov
Custom colors	Vlastní barvy
Custom Animation...	Vlastní animace...
Custom Animation	Vlastní animace
User 4	Vlastní 4
Custom 4	Vlastní 4
User 3	Vlastní 3
Custom 3	Vlastní 3
User 2	Vlastní 2
Custom 2	Vlastní 2
User 1	Vlastní 1
Custom 1	Vlastní 1
User	Vlastní
custom	vlastní
Custom	Vlastní
Customized	Vlastní
SharesOwned	VlastněnýPodíl
Thread	Vlákno
Linen	Vlákna
Glide	Vklouznout
Input of non-alphanumeric characters	Vkládání jiných než alfanumerických znaků
Inserting into merged ranges not possible	Vkládání do sloučených oblastí není možné
Input of alphanumeric characters	Vkládání alfanumerických znaků
Visual	Vizuální
Business Cards	Vizitky
Business Cards	Vizitky
Welcome to %PRODUCTNAME.	Vítejte v %PRODUCTNAME.
Vitamins	Vitamíny
Funnel	Vír
Vintage	Vintage
Vili	Vili
Vietnamese	Vietnamština
Vietnamese spelling dictionary	Vietnamský slovník pro kontrolu pravopisu
Text visible when exiting	Viditelný text při ukončení
Text visible when exiting	Viditelný text při ukončení
Mouse pointer visible	Viditelný kurzor myši
Visible bookmark levels	Viditelné úrovně záložek
Visible bookmark levels	Viditelné úrovně záložek
Visible	Viditelné
Visible size	Viditelná velikost
Visible Buttons	Viditelná tlačítka
Rulers visible	Viditelná pravítka
Visible grid	Viditelná mřížka
Visible	Viditelná
Video...	Video...
Video for Windows (*.avi)	Video for Windows (*.avi)
Multiword expressions	Víceslovné výrazy
Multiline input	Víceřádkový vstup
Multi-line with formatting	Víceřádkový s formátováním
Multi-line	Víceřádkový
Multiselection	Vícenásobný výběr
multiple selection	vícenásobný výběr
MULTIPLE.OPERATIONS	VÍCENÁSOBNÉ.OPERACE
Multiple Operations...	Vícenásobné operace...
Multiple operations	Vícenásobné operace
More spaces	Vícenásobné mezery
multiple changes	vícenásobná změna
Multiply signed document	Vícekrát podepsaný dokument
More...	Více...
More...	Více...
More Options	Více voleb
Multiple Pages	Více stránek
More Dictionaries Online...	Více slovníků online...
More Controls	Více ovládacích prvků
Multiple displays	Více monitorů
Multiple Languages	Více jazyků
More Information...	Více informací...
More >>	Více >>
More	Více
More	Více
Multi	Více
Inside	Vevnitř
greater than	větší než
greater than or equal to	větší nebo rovno
Larger	Větší
HSQLDB Embedded	Vestavěná HSQLDB
Firebird Embedded	Vestavěná Firebird
Embedded Database:	Vestavěná databáze:
Embedded database	Vestavěná databáze
Space	Vesmír
Public Key	Veřejný klíč
Versions...	Verze...
Version:	Verze:
ODF format version:	Verze formátu ODF:
ODF format version	Verze formátu ODF
Document versions	Verze dokumentu
Version	Verze
Versions of	Verze
Version Visible	Verze
Vertical Stack (2 Elements)	Vertikální zásobník (2 prvky)
Vertical Stack	Vertikální zásobník
Vertical	Vertikální
Veps	Vepština
Out from screen center	Ven ze středu
Out	Ven
Welsh	Velština
Very Loose	Velmi volné
Very Loose	Velmi volná
ultra bold	velmi tučné
Very Thick	Velmi tlustá
Very Tight	Velmi těsné
Very Tight	Velmi těsná
ultra thin	velmi tenké
Very thin	Velmi tenká
Very fast	Velmi rychle
Very slow	Velmi pomalu
Ultrafine Dotted (var)	Velmi jemně tečkovaná (proměnná)
Ultrafine dotted (variable)	Velmi jemně tečkovaná (proměnná)
Ultrafine Dotted	Velmi jemně tečkovaná
Ultrafine 2 dots 3 dashes	Velmi jemně dvě tečky tři čárky
Ultrafine 2 Dots 3 Dashes	Velmi jemně dvě tečky tři čárky
Ultrafine dashed	Velmi jemně čárkovaná
Ultrafine Dashed	Velmi jemně čárkovaná
Solid large circular bullets	Velké kulaté odrážky
Solid large square bullets	Velké čtvercové odrážky
Large	Velké
Large change	Velká změna
Large Tilde	Velká tilda
Large Circumflex	Velká stříška
Uppercase Roman number I. II. III.	Velká římská čísla I. II. III.
Uppercase letter A) B) C)	Velká písmena A) B) C)
Caps	Velká písmena
Capitals	Velká písmena
Uppercase	Velká písmena
UPPERCASE	VELKÁ PÍSMENA
Large	Velká
pagesize	velikoststránky
fontsize|textsize|textheight	velikostpísma|velikosttextu
Font Size...	Velikosti písma...
Font sizes	Velikosti písma
Font Sizes	Velikosti písma
Size: %NUMBERKB	Velikost: %NUMBERKB
Size:	Velikost:
Size:	Velikost:
View Size:	Velikost zobrazení:
The size of the population.	Velikost základního souboru.
The size of the sample.	Velikost vzorku.
Sample Size	Velikost vzorku
Sample SIze	Velikost vzorku
Size in KB	Velikost v KB
Feature size	Velikost součásti
The file size is %1 KB.	Velikost souboru je %1 KB.
Dimension help line spacing	Velikost řádkování pomocných kót
Dimension line space	Velikost řádkování kót
Excess size (left/right)	Velikost přesahu (vlevo/vpravo)
Excess size	Velikost přesahu
The population size.	Velikost populace.
Size of Swarm	Velikost populace
Fit to Frame	Velikost podle rámce
Fit to frame	Velikost podle rámce
Change Case	Velikost písmen
Capitalization	Velikost písmen
Font size	Velikost písma
Font Size	Velikost písma
Paper size	Velikost papíru
Image Capacity:	Velikost obrázku:
Size not protected	Velikost není uzamčena
Ticker step size	Velikost kroku rolujícího textu
Size of complex scripts	Velikost komplexních skriptů
Size of Library	Velikost knihovny
The size of the unitary array.	Velikost jednotkové matice.
Size protected	Velikost je uzamčena
Icon size	Velikost ikony
Icon size	Velikost ikon
Tile size:	Velikost dlaždice:
Tile size:	Velikost dlaždic:
Tile size not in %	Velikost dlaždic není v %
Disk Size	Velikost disku
Bubble Sizes	Velikost bublin
Size of Asian font	Velikost asijského písma
Icon size and style	Velikost a styl ikon
Icon size and style	Velikost a styl ikon
Size 7	Velikost 7
Size 6	Velikost 6
Size 5	Velikost 5
Size 4	Velikost 4
Size 3	Velikost 3
Size 2	Velikost 2
Size 1	Velikost 1
size	velikost
Size	Velikost
Size	Velikost
Size:	Velikost
toolbutton3	Velikost
large square bullets	veliké čtvercové odrážky
Vectorized image:	Vektorový obrázek:
Vectorized image	Vektorový obrázek
Vector element	Vektorový element
Vector Arrow	Vektorová šipka
Vegetarian	Vegetariánské
Vedic Extensions	Védská rozšíření
Minor:	Vedlejší:
Secondary axes	Vedlejší osy
Secondary Axes	Vedlejší osy
Secondary Y Axis...	Vedlejší osa Y...
Secondary Y axis	Vedlejší osa Y
Secondary Y Axis	Vedlejší osa Y
Secondary X Axis...	Vedlejší osa X...
Secondary X Axis	Vedlejší osa X
Minor grids	Vedlejší mřížky
Z Axis Minor Grid...	Vedlejší mřížka osy Z...
Z Axis Minor Grid	Vedlejší mřížka osy Z
Y Axis Minor Grid...	Vedlejší mřížka osy Y...
Y Axis Minor Grid	Vedlejší mřížka osy Y
X Axis Minor Grid...	Vedlejší mřížka osy X...
X Axis Minor Grid	Vedlejší mřížka osy X
Minor interval	Vedlejší interval
Minor ceil	Vedlejší horní celá část
Minor floor	Vedlejší dolní celá část
Scientific	Vědecký
Research report	Vědecká zpráva
Clockwise	Ve směru hodinek
Within Groups	Ve skupinách
Orphans	Vdovy
VDB	VDB
Including Styles	Včetně stylů
Include transparent objects	Včetně průhledných objektů
Include transparent objects	Včetně průhledných objektů
Including subfolders	Včetně podadresářů
Including subdirectories	Včetně podadresářů
Include form for recording minutes	Včetně formuláře pro záznam průběhu porady
Include page number	Včetně čísel stránek
yesterday	včera
Yesterday	Včera
Dear Sir or Madam	Vážená paní nebo pane
Binding expression	Vazební výraz
Binding expression	Vazební výraz
Bindings	Vazby
Binding: 	Vazba: 
Binding	Vazba
Binding	Vazba
Letter Signs	Vaše značka / Naše značka
Your name:	Vaše jméno:
Your name	Vaše jméno
Your homepage	Vaše domovská stránka
vartheta	vartheta
varsigma	varsigma
VARSAMP	VARSAMP
varrho	varrho
VARPOP	VARPOP
varpi	varpi
varphi	varphi
VarP - 	VarP - 
VARP	VARP
Warning [1].	Varování [1].
Warnings	Varování
Small Form Variants	Varianty malých tvarů
varepsilon	varepsilon
VAR.S	VAR.S
VAR.P	VAR.P
Var - 	Var - 
VAR	VAR
VALUE	VALUE
Field	Value
address	value
Walloon	Valonština
Validating documents...	Validují se dokumenty...
Validate	Validovat
Validator	Validátor
Cylinder	Válec
Vai	Vai
PackWeight	VáhBalíku
PackageWeight	VáhaBalíku
Font weight	Váha písma
Weight of complex scripts	Váha komplexních skriptů
Weight of Asian font	Váha asijského písma
Not implemented in this build.	V této verzi není implementováno.
Select special characters in this area.	V této oblasti vyberte speciální znaky.
No fonts could be found on the system.	V systému nebyla nalezena žádná písma.
Assign aliases if desired	V případě potřeby vyberte aliasy
In reverse order	V opačném pořadí
In reverse order	V opačném pořadí
Grayscale	V odstínech šedi
Chevron Up	V nahoru
Per chapter	V kapitole
Chevron Down	V dolů
Per document	V dokumentu
Yours faithfully	V dokonalé úctě
In 3D Rotation Object	V 3D rotačním objektu
Custom heading (apply Style)	Uživatelský nadpis (použít styl)
Custom heading	Uživatelský nadpis
User Defined	Uživatelsky definované
User installation could not be completed. 	Uživatelskou instalaci nelze dokončit.
Custom:	Uživatelské:
User Data	Uživatelské údaje
User Interface	Uživatelské rozhraní
User interface	Uživatelské rozhraní
Custom sort order	Uživatelské pořadí řazení
User name:	Uživatelské jméno:
User name	Uživatelské jméno
Username	Uživatelské jméno
User name	Uživatelské jméno
User	Uživatelské
User Entry	Uživatelská položka
User Field	Uživatelská pole
User Support	Uživatelská podpora
Custom fonts	Uživatelská písma
User Settings	Uživatelská nastavení
User Configuration	Uživatelská nastavení
User-Defined Index	Uživatelem definovaný rejstřík
User 9	Uživatelem definovaný 9
User 8	Uživatelem definovaný 8
User 7	Uživatelem definovaný 7
User 6	Uživatelem definovaný 6
User 5	Uživatelem definovaný 5
User 4	Uživatelem definovaný 4
User 3	Uživatelem definovaný 3
User 2	Uživatelem definovaný 2
User 1	Uživatelem definovaný 1
User-defined dictionaries	Uživatelem definované slovníky
User-defined dictionaries	Uživatelem definované slovníky
User-defined attributes	Uživatelem definované atributy
User defined Function	Uživatelem definovaná funkce
Users currently accessing this spreadsheet	Uživatelé přistupující k tomuto sešitu
User:	Uživatel:
User:	Uživatel:
User pressed ESCAPE during DDE operation.	Uživatel stisknul ESCAPE během DDE operace.
User $name$:  $	Uživatel $name$:  $
Login	Uživatel
User	Uživatel
Uzbek Cyrillic	Uzbečtina
Close Object	Uzavřít objekt
Close Polygon	Uzavřít mnohoúhelník
Close Bézier	Uzavřít Beziérovu křivku
close	uzavři
A closed link is not possible.	Uzavřený odkaz není možný.
Closed Circle II	Uzavřený kruh II
Closed Circle	Uzavřený kruh
Enclosed CJK Letters And Months	Uzavřené znaky a měsíce CJK
Enclosed Alphanumerics	Uzavřené alfanumerické znaky
Protect Records	Uzamknout záznamy
Size Protection	Uzamknout velikost
Protect Sheet...	Uzamknout list...
Protect sheet	Uzamknout list
Protect Sheet	Uzamknout list
Protect Document...	Uzamknout dokument...
Protect document	Uzamknout dokument
Protect Document	Uzamknout dokument
Contents protected	Uzamčený obsah
locked 	uzamčeno 
 and specify 'Sheet'.	Uzamčení buňky se uplatní
Protected object position	Uzamčené umístění objektu
Protected object size	Uzamčená velikost objektu
Locked	Uzamčená
Leading zeroes:	Uvozující nuly:
Leading zeroes 	Uvozující nuly
Leading zeroes	Uvozující nuly
Parentheses do not match.	Uvozovky nesouhlasí.
Quotation marks	Uvozovky
Undock Task Pane	Uvolnit panel úloh
Undock	Uvolnit
Mouse button released	Uvolněno tlačítko myši
Initial character	Úvodní znak
Title texts	Úvodní texty
Title text	Úvodní text
Starting slide	Úvodní snímek
Startcenter	Úvodní obrazovka
Introduction	Úvod
Introduction 	Úvod
inside (centered)	uvnitř (uprostřed)
inside	uvnitř
Inside	Uvnitř
Describe your basic ideas	Uveďte základní myšlenky
The password entered is invalid.	Uvedené heslo je neplatné.
AmountSpnt	UtrČást
AmountSpent	UtracenáČástka
Arrange the controls on your form	Uspořádejte ovládací prvky formuláře
Organize...	Uspořádat...
Organize...	Uspořádat...
Shape Arrange	Uspořádat tvary
Arrange %1 in circle	Uspořádat %1 do kruhu
Arrange	Uspořádat
Arrange	Uspořádat
Page order	Uspořádání stránky
Column Arrangement...	Uspořádání sloupců...
Column Arrangement	Uspořádání sloupců
Arrangement of the subform	Uspořádání podformuláře
Arrangement of the main form	Uspořádání hlavního formuláře
Line arrangement	Uspořádání čar
Order	Uspořádání
Arrangement	Uspořádání
Power save mode	Úsporný režim
Successfully sent	Úspěšně odesláno
Successfully recovered	Úspěšně obnoveno
successes	úspěšné
Successful	Úspěšné
Included outline levels	Úrovně vnoření kapitol
Levels	Úrovně
Use level from source chapter	Úroveň zdrojové kapitoly
Security Level	Úroveň zabezpečení
Outline level:	Úroveň osnovy:
Outline level	Úroveň osnovy
Outline Level	Úroveň osnovy
Epsilon level (0-3)	Úroveň epsilon (0-3)
Numbering level	Úroveň číslování
Level 9	Úroveň 9
Level 8	Úroveň 8
Level 7	Úroveň 7
Level 6	Úroveň 6
Level 5	Úroveň 5
Level 4	Úroveň 4
Level 3	Úroveň 3
Level 2	Úroveň 2
Level 10	Úroveň 10
Level 1	Úroveň 1
Level 	Úroveň 
Level	Úroveň
Level	Úroveň
The rate of interest per period.	Úroková sazba za období.
The rate of interest for the period given.	Úroková sazba za období.
interest rate (continuously compounded)	úroková sazba (spojité úročení)
Interest rate (continuously compounded)	Úroková sazba (spojité úročení)
The rate	Úroková sazba
investment	úrokinvestice
rate	úrok
IntrstEarn	Úrok
Nominal rate	Úrok
URL:	URL:
URL:	URL:
Save URLs relative to file system	URL ukládat relativně k systému souborů
Save URLs relative to internet	URL ukládat relativně k Internetu
URL for presentation:	URL pro prezentaci:
URL for listeners	URL pro posluchače
URL for Perl scripts:	URL pro Perl skripty:
Help URL	URL nápovědy
URL of external data source	URL externího zdroje dat
Datasource URL	URL datového zdroje
URL 	URL 
URL	URL
URL	URL
Oriya	Urijština
Oriya	Urijské
URI of the webservice	URI webové služby
URI	URI
Urdu (Pakistan)	Urdština (Pákistán)
Urdu	Urdština
Specifies a logical test to be performed.	Určuje logický test
Specifies whether two texts are identical.	Určuje jestli jsou dva texty shodné.
Save Anyway	Určitě uložit
Define Labels...	Určit popisky...
Specify the width of the line.	Určete šířku čáry.
Specify the luminance of the graphic.	Určete světelnost obrázku.
Apply the style of your form	Určete styl formuláře
Specify the transparency of the line.	Určete průhlednost čáry.
Specify the borders of the selected cells.	Určete ohraničení vybraných buněk.
The specified file could not be opened.	Určený soubor nelze otevřít.
Level ID	Určení úrovně
Determination of the dimension value angle	Určení úhlu textu kóty
upsilon	upsilon
UPSILON	UPSILON
Advanced Properties	Upřesnit vlastnosti
Advanced Settings...	Upřesnit nastavení...
Advanced Settings	Upřesnit nastavení
Below centered	Uprostřed pod
Above centered	Uprostřed nad
Center	Uprostřed
Middle	Uprostřed
Center	Uprostřed
Centered	Uprostřed
Center area	Uprostřed
Line centered	Uprostřed
Edit	Úpravy
Editable in read-only document	Upravitelné v dokumentu jen pro čtení
Editable in read-only document	Upravitelné v dokumentu jen pro čtení
Editable	Upravitelné
Edit...	Upravit...
Edit...	Upravit...
Modify...	Upravit...
Modify...	Upravit...
Customize the selected layout	Upravit zvolený vzhled
Edit Changes	Upravit změny
Edit Page Break...	Upravit zalomení stránky...
Edit Snap Point...	Upravit záchytný bod...
Edit Snap Point	Upravit záchytný bod
Adjust layout	Upravit vzhled
Modify default values	Upravit výchozí hodnoty
Modify Layer...	Upravit vrstvu...
Modify Layer	Upravit vrstvu
Edit Snap Line...	Upravit vodítko...
Edit Snap Line	Upravit vodítko
Edit Page Properties	Upravit vlastnosti stránky
Modify bézier properties of %1	Upravit vlastnosti bézierovy křivky %1
Edit Custom Dictionary	Upravit vlastní slovník
Resize shape to fit text	Upravit velikost tvaru podle textu
Edit Binding	Upravit vazbu
Edit in SQL View...	Upravit v režimu SQL...
Edit User-defined dictionaries	Upravit uživatelem definované slovníky
Edit chart type	Upravit typ grafu
Edit Duration	Upravit trvání
Modify title and outline	Upravit titul a text
Edit text of %1	Upravit text %1
Edit text	Upravit text
Edit Symbols	Upravit symboly
Edit Style...	Upravit styl...
Edit Page Style	Upravit styl stránky
Edit Paragraph Style...	Upravit styl odstavce...
Edit Cell Style	Upravit styl buňky
Modify SQL statement(s)	Upravit SQL příkazy
Edit Concordance File	Upravit soubor konkordancí
Edit File	Upravit soubor
Edit Dictionary	Upravit slovník
Adjust columns proportionally	Upravit sloupce rovnoměrně
Edit Group	Upravit skupinu
Enter Group	Upravit skupinu
Edit Script	Upravit skript
Modify section	Upravit sekci
Edit Sections	Upravit sekce
Edit scenario	Upravit scénář
Edit Scenario	Upravit scénář
Edit FrameSet	Upravit sadu rámců
Edit Layout...	Upravit rozvržení...
Edit Concordance File	Upravit rejstříkový soubor
Edit Index/Table	Upravit rejstřík/tabulku
Edit index	Upravit rejstřík
New Query (SQL View)	Upravit příkaz (režim SQL)
Modify transition	Upravit přechod
Edit Element	Upravit prvek
Modify presentation object '$'	Upravit prezentační objekt '$'
Edit Presentation	Upravit prezentaci
Edit Comment...	Upravit poznámku...
Edit Footnote/Endnote	Upravit poznámku pod čarou/vysvětlivku
Modify footnote	Upravit poznámku pod čarou
Edit later	Upravit později
Edit Column Description	Upravit popis sloupce
Edit Index Entry	Upravit položku rejstříku
Edit Bibliography Entry	Upravit položku použité literatury
Edit Field	Upravit pole
Edit Fields	Upravit pole
Edit Terms...	Upravit pojmy...
Modify page margins	Upravit okraje stránky
Change password protection	Upravit ochranu heslem
Edit Links...	Upravit odkazy...
Edit links	Upravit odkazy
Edit Links	Upravit odkazy
Modify references	Upravit odkazy
Edit link	Upravit odkaz
Modify link	Upravit odkaz
Modify Link	Upravit odkaz
Edit Hyperlink	Upravit odkaz
Edit Submission	Upravit odeslání
Edit Contour...	Upravit obrys...
Edit Image	Upravit obrázek
Edit graphics	Upravit obrázek
Edit Print Ranges	Upravit oblasti tisku
Edit data ranges	Upravit oblasti dat
Edit Print Area...	Upravit oblast tisku...
Modify chart data range	Upravit oblast dat grafu
Modify Object with Attributes	Upravit objekt s atributy
Edit object	Upravit objekt
Edit now	Upravit nyní
Edit Field Names	Upravit názvy polí
Edit range names	Upravit názvy oblastí
Modify the table design	Upravit návrh tabulky
Edit filter settings	Upravit nastavení filtru
Edit Setting	Upravit nastavení
Modify endnote settings	Upravit možnosti vysvětlivek
Modify footnote options	Upravit možnosti poznámek pod čarou
Edit Options	Upravit možnosti
Edit Modules	Upravit moduly
Edit Model	Upravit model
Reduce/enlarge printout	Upravit měřítko tisku
Adjust Scale	Upravit měřítko
Adapt array area	Upravit matici
Edit mask	Upravit masku
Edit Macros	Upravit makra
Edit pivot table	Upravit kontingenční tabulku
Edit Comment	Upravit komentář
Edit Categories	Upravit kategorie
Edit Namespace	Upravit jmenný prostor
Edit Namespaces...	Upravit jmenné prostory...
Edit individual document...	Upravit jednotlivý dokument...
Edit Instance	Upravit instanci
Edit Hyperlink...	Upravit hypertextový odkaz...
Edit Hyperlink	Upravit hypertextový odkaz
Edit Master...	Upravit hlavní...
Edit Function	Upravit funkci
Modify page format	Upravit formát stránky
Modify report layout	Upravit formát sestavy
Edit with External Tool...	Upravit externím nástrojem...
Edit with External Tool	Upravit externím nástrojem
Modify Effect	Upravit efekt
Edit Query	Upravit dotaz
Modify Query	Upravit dotaz
Edit Available language modules	Upravit dostupné jazykové moduly
Edit Document...	Upravit dokument...
Edit document	Upravit dokument
Edit Document	Upravit dokument
Modify Chart Data Area	Upravit datovou oblast grafu
Edit Database File...	Upravit databázový soubor...
Edit Database Link	Upravit databázový odkaz
Edit Data	Upravit data
Modify data	Upravit data
Edit Paths: %1	Upravit cesty: %1
Modify cell	Upravit buňku
Edit Points	Upravit body
Edit Points	Upravit body
Edit Address Block	Upravit blok s adresou
Edit Attribute	Upravit atribut
Edit 3D view	Upravit 3D pohled
Edit	Upravit
Edit	Upravit
Modify	Upravit
Modified by	Upravil
Modified on	Upraveno
Shape Adjustment	Úprava tvaru
Text editing	Úprava textu
UPPER	UPPER
Warn me about this in the future.	Upozornit i příště.
Warning!	Upozornění!
Do not show warning again.	Upozornění znovu nezobrazovat.
Don't show warning again	Upozornění znovu nezobrazovat
Do not show warning again	Upozornění znovu nezobrazovat
Printer warnings	Upozornění tiskárny
Warning	Upozornění
Long printer name	Úplný název tiskárny
Full spin	Úplné otočení
UNO Dynamic Library Component	UNO komponenta (sdílená knihovna)
UNO RDB Type Library	UNO komponenta (RDB typ)
UNO Python Component	UNO komponenta (Python)
UNO Java Component	UNO komponenta (Java)
UNO Java Type Library	UNO komponenta (Java typ)
University	Univerzita
Issuer Unique ID	Unikátní ID vydavatele
Subject Unique ID	Unikátní ID subjektu
UNICHAR	UNICHAR
CJK Unified Ideographs	Unifikované ideogramy CJK
Unicode (UTF-8)	Unicode (UTF-8)
Unicode (UTF-7)	Unicode (UTF-7)
Unicode	Unicode
UNICODE	UNICODE
Unary/Binary Operators	Unární/binární operátory
Unary/Binary Operators	Unární/binární operátory
Unary operator expected	Unární operátor očekáván
OfficeLoc	UmístKanc
Place title pages at:	Umístit titulní stránky na:
Place title pages at	Umístit titulní stránku na
Follow text flow	Umístit s textem
Follow text flow	Umístit s textem
Set in Circle (distort)	Umístit na kružnici (zkreslit)
Set to circle (slant)	Umístit na kružnici (zkosit)
Set in Circle (perspective)	Umístit na kružnici (perspektivně)
Place at end of page	Umístit na konec stránky
Place at end of document	Umístit na konec dokumentu
Set Cursor To Anchor	Umístit kurzor na ukotvení
OfficeLocation	UmístěníKanceláře
Location: 	Umístění: 
Location:	Umístění:
Location:	Umístění:
Place marks	Umístění značek
Exit Position	Umístění výstupu
Document position 	Umístění v dokumentu 
Document position	Umístění v dokumentu
Document position	Umístění v dokumentu
Position in Document	Umístění v dokumentu
Class Location	Umístění třídy
Text position	Umístění textu
Tab stop position	Umístění tabulátoru
Position of vertical axis	Umístění svislé osy
Fillbitmap position	Umístění rastrové výplně
Place labels	Umístění popisků
Label placement	Umístění popisků
Font Position	Umístění písma
Salutation position	Umístění oslovení
Position not protected	Umístění není zamknuto
Mouse positioning	Umístění myši
Mouse positioning	Umístění myši
Legend Position	Umístění legendy
Tab stop position	Umístění kroku tabulátoru
Camera position	Umístění kamery
Position protected	Umístění je zamknuto
Chart Location	Umístění grafu
Tile position Y in %	Umístění dlaždic Y v %
Tile position X in %	Umístění dlaždic X v %
Address block position	Umístění bloku s adresou
Position and Size...	Umístění a velikost...
Position and size	Umístění a velikost
Position and Size	Umístění a velikost
Position and spacing	Umístění a rozestupy
Location and file name:	Umístění a název souboru:
