App info	Informace o aplikaci
"You have the Track Changes feature enabled for the document. Track Changes records all changes in the text and shows the editions for later revision. Useful for marking changes in text and spreadsheets. Track changes are enabled choosing <span class=""ui"">Edit</span> → <span class=""ui"">Track Changes </span> → <span class=""ui"">Record</span>."	
With track changes enabled your document show the following settings:	
Deletions are marked with colored strike-through characters.	
Additions are marked with colored underlined characters.	
All changes are marked with a vertical bar in the right margin.	
Changes are displayed as comment in the right of the document area.	
The color assigned to the changes depends on the user that changes the document.	
"To display or hide track changes choose <span class=""ui"">Edit</span> → <span class=""ui"">Track Changes </span> → <span class=""ui"">Show</span>. Beware that if track changes are enabled but hidden, you still record changes and may inadvertently leave unwanted text available in the document."	
"Changes can be accepted or rejected. To accept or reject changes, click on the corresponding icons in the comment box on the right of the document. Alternatively, choose <span class=""ui"">Edit</span> → <span class=""ui"">Track Changes </span> → <span class=""ui"">Accept</span> or <span class=""ui"">Reject</span>. Furthermore, if you need to filter changes before accepting or rejecting, choose <span class=""ui"">Edit</span> → <span class=""ui"">Track Changes </span> → <span class=""ui"">Manage</span>. A dialog shows a list of all tracked changes. Use the dialog buttons accordingly."	
How do I set the margins of the document?	Přejít na začátek dokumentu
Using the ruler drag the leftmost edge of the ruler to adjust the left margin, or the rightmost for the right margin.	
Using the page style	
"Choose <span class=""ui"">Format</span> → <span class=""ui"">Page</span> and select the <span class=""ui"">Page</span> tab"	
Set the page margins in the dialog.	
How do I change the page orientation to landscape inside my document	
Place the cursor at the place where the page orientation is to change. Add an empty paragraph.	
"Choose <span class=""ui"">Format</span> → <span class=""ui"">Paragraph</span>, <span class=""ui"">Text Flow </span> tab"	
"In the <span class=""ui"">Breaks</span> area, mark Insert, Type: Page Break, Position: Before."	
Select Landscape in “With Page Style”	
Select if you want to change page numbering.	
To return to portrait orientation, repeat the procedure, choosing Portrait in “With page style”.	
How can I make the new text look like other existing text?	
Directly:	
Select the text with the existing format	
"Click on the clone formatting icon <img style=""height:0.6cm;width:0.6cm;"" alt="""" src=""images/lcformatpaintbrush.svg"">. The mouse pointer turns to a paint bucket."	
Select the text you want to apply the new format.	
Applying a paragraph style:	Použít styl odstavce Nadpis 1
Place the cursor at the paragraph to be formatted	
Select the style to apply in the style dropdown list. The paragraph displays the styles attributes.	
Why did the text I just typed change automatically? How can I revert it?	
"You have the AutoCorrection enabled. AutoCorrection changes the text just typed into an internal table of corresponding text. In most cases, AutoCorrection fixes typos while you are typing. If AutoCorrection is not necessary, disable it in <span class=""ui"">Tools</span> → <span class=""ui"">AutoCorrection</span> → <span class=""ui"">While typing</span>."	
How can I select data to print?	
Insert column and row breaks in the spreadsheet to narrow the print range and print the document to download. On printing the PDF, select the pages of interest.	
How can I import CSV data?	
Load your CSV data in some native tool to your platform, select and copy it to the clipboard	
"Activate the <span class=""productname"">%productName</span> spreadsheet window."	
"Paste from the browser <span class=""ui"">Edit</span> → <span class=""ui"">Paste</span> or press <span class=""kbd"">Ctrl</span> + <span class=""kbd"">V</span>. The <span class=""ui"">Text Import</span> dialog opens to let you describe the precise format of the CSV data."	
Select the character set, language and separator options for the CSV file.	
The CSV data is loaded into the selected cell where you pasted, according to these settings.	
How can I copy the formatting of existing cells to new ones?	
This is easy to do using the Paintbrush tool in the toolbar.	
Format the source cell with the font, color background and more.	
Select the cells you want to format. Release the mouse button.	
What is “Clear Direct Formatting” icon?	
"Direct formatting is formatting applied directly to the selected contents of a paragraph or a spreadsheet cell, and overlaps its assigned style formatting. To restore the formatting to the style settings, select the text or spreadsheet cell and choose <span class=""ui"">Format</span> → <span class=""ui"">Clear Direct Formatting</span> or use the button in the toolbar."	
How do I rename a sheet?	
Rename a sheet in the spreadsheet document using the context menu (using the right mouse button) over the sheet tab in the bottom. Enter the new sheet name in the dialog that follows.	
How can I run my slide show?	
"Open the presentation in <span class=""productname"">%productName</span>"	
"Either choose <span class=""ui"">Slide Show</span> → <span class=""ui"">Full Screen Presentation</span> or click on the left-most icon in the bottom of the slide panel: <img style=""height:0.6cm;width:0.6cm;"" alt="""" src=""images/lcdia.svg"">"	
How can I change the line, area and position of a shape in my slides?	
Select the shape in your slide. A set of handles shows.	
"Choose <span class=""ui"">Format</span> → <span class=""ui"">Line</span> (or <span class=""ui"">Area</span>, or <span class=""ui"">Position and Size</span>). A dialog opens."	
Set the properties of the element of the object.	
Admin console	Ovládací panel administrátora
Settings	Nastavení
Overview	Přehled
(current)	(aktuální)
Analytics	Analytické údaje
History	Historie
Dashboard	Nástěnka
Users online	Přihlášení uživatelé
User Name	Uživatelské jméno
Documents opened	Otevřené dokumenty
Number of Documents	Počet dokumentů
Memory consumed	Spotřebovaná paměť
Bytes sent	Odeslané bajty
Bytes received	Přijaté bajty
PID	PID
Document	Dokument
Number of views	Počet zobrazení
Elapsed time	Uplynulý čas
Idle time	Doba nečinnosti
Modified	Změněno
Kill	Ukončit
Graphs	Grafy
Memory Graph	Graf paměti
CPU Graph	Graf procesoru
Network Graph	Graf sítě
Save	Uložit
Cache size of memory statistics	Velikost mezipaměti pro statistiku paměti
Time interval of memory statistics (in ms)	Časový interval pro statistiku paměti (v ms)
Cache size of CPU statistics	Velikost mezipaměti pro statistiku procesoru
Time interval of CPU statistics (in ms)	Časový interval statistiky procesoru (v ms)
Maximum Document process virtual memory (in MB) - reduce only	Maximální virtuální paměť procesu dokumentu (v MB) - lze pouze zmenšit
Maximum Document process stack memory (in KB) - reduce only	Maximální paměť procesu dokumentu v zásobníku (v kB) - lze pouze zmenšit
Maximum file size allowed to write to disk (in MB) - reduce only	Maximální velikost souboru pro zápis na disk (v MB) - lze pouze zmenšit
Documents:	Dokumenty:
Expired:	Platnost vypršela:
Refresh	Obnovit
Shutdown Server	Vypnout server
Server uptime	Doba běhu serveru
Received	Přijaté
Sent	Odeslané
Connection error	Chyba spojení
Are you sure you want to terminate this session?	Opravdu si přejete ukončit tuto relaci?
Documents	Dokumenty
Are you sure you want to shut down the server?	Opravdu si přejete tento server vypnout?
kB	kB
MB	MB
GB	GB
TB	TB
 hrs	 hod
 mins	 min
 s	 s
Open link	Otevřít hypertextový odkaz
Edit	Upravit
The server encountered a %0 error while parsing the %1 command.	Server zaznamenal během zpracovávání příkazu %1 chybu %0.
Paste Special	Vložit jinak
Repair Document	Opravit dokument
Type	Typ
Index	Index
Comment	Komentář
User name	Uživatelské jméno
Timestamp	Čas změny
Jump to state	Přejít na stav
You	Vy
Start download	Zahájit stahování
Confirm copy to clipboard	Potvrdit kopírování do schránky
Start upload	Zahájit nahrávání
Start cross copy/paste	Zahájit kopírování/vkládání
No color	Automatická
Linear	
Axial	
Radial	
Elipsoid	
Quadratic	
Square	
Fixed size	
None	Žádná
Color	
Gradient	
Hatching	
Pattern	
From	
To	
Font Name	Písmo
Font Size	Nepodepsáno
Rows	
Columns	
Insert table	Vložit tabulku
None (Do not check spelling)	Žádný (bez kontroly pravopisu)
Cancel	Zrušit
Share...	Sdílet...
See revision history	Zobrazit historii revizí
Download as	Stáhnout jako
PDF Document (.pdf)	Dokument PDF (.pdf)
ODF text document (.odt)	Textový dokument ODF (.odt)
Word 2003 Document (.doc)	Dokument Word 2003 (.doc)
Word Document (.docx)	Dokument Word (.docx)
Rich Text (.rtf)	Rich Text (.rtf)
Sign document	Podepsat dokument
Close document	Zavřít dokument
Repair	Opravit
Reset zoom	Obnovit přiblížení
Show Ruler	Zobrazit pravítko
Local Image...	Místní obrázek...
All	Vše
Text orientation	Orientace textu
Online Help	
Keyboard shortcuts	Klávesové zkratky
About	O aplikaci
Last modification	Poslední změna
ODF presentation (.odp)	Prezentace ODF (.odp)
PowerPoint 2003 Presentation (.ppt)	Prezentace PowerPoint 2003 (.ppt)
PowerPoint Presentation (.pptx)	Prezentace PowerPoint (.pptx)
Fullscreen presentation	Prezentace na celou obrazovku
ODF spreadsheet (.ods)	Sešit ODF (.ods)
Excel 2003 Spreadsheet (.xls)	Sešit Excel 2003 (.xls)
Excel Spreadsheet (.xlsx)	Sešit Excel (.xlsx)
Export as	Exportovat jako
Insert Shape	Vložit tvary
Reset to Default Language	Obnovit výchozí jazyk
Are you sure you want to delete this slide?	Opravdu si přejete smazat tento snímek?
<p>Your browser has very limited access to the clipboard, so use these keyboard shortcuts:<ul><li><b>Ctrl+C</b>: For copying.</li><li><b>Ctrl+X</b>: For cutting.</li><li><b>Ctrl+V</b>: For pasting.</li></ul></p>	<p>Prohlížeč má velmi omezený přístup ke schránce, proto používejte tyto klávesové zkratky:<ul><li><b>Ctrl+C</b>: pro kopírování.</li><li><b>Ctrl+X</b>: pro vyjímání.</li><li><b>Ctrl+V</b>: pro vkládání.</li></ul></p>
Scroll up annotations	Posunout na komentář výše
Scroll down annotations	Posunout na komentář níže
Insert sheet before this	Vložit list před tento
Insert sheet after this	Vložit list za tento
Are you sure you want to delete sheet, %sheet% ?	Opravdu si přejete smazat list, %sheet% ?
Enter new sheet name	Zadejte nový název listu
Are you sure you want to delete this page?	Opravdu si přejete smazat tuto stránku?
Default Style	
Borders	Ohraničení
More...	Více...
Insert Local Image	Vložit místní obrázek
Insert shapes	Vložit tvary
First sheet	První list
Previous sheet	Předchozí list
Next sheet	Následující list
Last sheet	Poslední list
Insert sheet	Vložit list
Search	Hledat:
Cancel the search	Zrušit vyhledávání
Always follow the editor	Vždy následovat tohoto editora
Current	Aktuální
%user has joined	%user se připojil
%user has left	%user se odpojil
Number of Sheets	Počet listů
Selected range of cells	Vybraná oblast buněk
Entering text mode	Přepínání do textového režimu
Selection Mode	Režim výběru
Choice of functions	Volba funkcí
Average	Průměr
CountA	Počet hodnot
Count	Počet čísel
Maximum	Maximum
Minimum	Minimum
Sum	Součet
Selection count	Počet vybraných
Number of Pages	Počet stránek
Word Counter	Počet slov
Number of Slides	Počet snímků
%n users	%n uživatelů
1 user	1 uživatel
0 users	Žádný uživatel
Style	Styl
Font	Písmo
Previous slide	Předchozí snímek
Next slide	Následující snímek
Conflict Undo/Redo with multiple users. Please use document repair to resolve	Konflikt použití Zpět/Znovu s více uživateli. Pro vyřešení prosím použijte opravu dokumentu
Readonly	Pouze pro čtení
Left Margin	Levý okraj
Right Margin	Pravý okraj
Please enter the PIN Code	Zadejte prosím PIN kód
Error at login.	Chyba při přihlášení.
Please scan the code	Prosím naskenujte kód
Couldn't get the QR code image.	Nelze získat obrázek QR kódu.
Error when trying to restore access to identity.	Při pokusu o obnovení přístupu k identitě došlo k chybě.
PIN Code	PIN kód
Please enter the PIN code from the EMail or SMS	Zadejte kód PIN z e-mailu nebo SMS
Login from email or mobile number	Přihlaste se z e-mailu nebo mobilního čísla
Select document type to upload	Vyberte typ dokumentu, který chcete nahrát
Type:	Typ:
Document uploaded.	Dokument nahrán.
Select identity:	Vyberte identitu:
Login from mobile	Přihlášení z mobilu
Recover from email	Obnova z e-mailu
Select passport	Vybrat průkaz
Passport: N/A	Průkaz: N/A
Sign	Podepsat
Status:	Stav:
	
Login	Přihlášení
Close	Zavřít
Not Signed	Nepodepsáno
This document is digitally signed and the signature is valid.	Tento dokument je elektronicky podepsán platným podpisem.
Signed and validated	Podepsáno a validováno
This document has an invalid signature.	Tento dokument má neplatný podpis.
Signature broken	Podpis poškozen
The signature was valid, but the document has been modified	Podpis byl platný, ale dokument se změnil
Signed but document modified	Podepsáno, ale dokument byl změněn
The signature is OK, but the certificate could not be validated.	Podpis je v pořádku, ale certifikát nelze ověřit.
Signed but not validated	Podepsán, ale není validován
The signature is OK, but the document is only partially signed	Podpis je v pořádku, ale dokument je podepsán pouze částečně
Signed but not all files are signed	Podepsáno, ale ne všechny soubory jsou podepsány
Downloading...	Stahování...
Saving...	Ukládání...
Renaming...	Přejmenovávání...
This version of %productName is powered by	Tato verze aplikace %productName využívá
Insert hyperlink	Vložit hypertextový odkaz
Text	Text
Link	Odkaz
OK	OK
IE11 has reached its maximum number of connections. Please see this document to increase this limit if needed: https://docs.microsoft.com/en-us/previous-versions/windows/internet-explorer/ie-developer/general-info/ee330736(v=vs.85)#websocket-maximum-server-connections	Prohlížeč IE11 dosáhl maximálního počtu připojení. V případě potřeby můžete tento limit navýšit podle následujícího dokumentu: https://docs.microsoft.com/en-us/previous-versions/windows/internet-explorer/ie-developer/general-info/ee330736(v=vs.85)#websocket-maximum-server-connections
Oops, there is a problem connecting to LibreOffice Online : 	Jejda, nastal problém s přípojením k LibreOffice Online: 
Served by:	
Unsupported server version.	Nepodporovaná verze serveru.
Session terminated by document owner	Relace byla ukončena vlastníkem dokumentu
Idle document - please click to reload and resume editing	Neaktivní dokument - kliknutím jej znovu načtete a budete moci pokračovat v úpravách
Server is shutting down for maintenance (auto-saving)	Server bude vypnut z důvodu údržby (automatické ukládání)
Oops, there is a problem connecting the document	Došlo k problému při připojování k dokumentu
Server is recycling and will be available shortly	Server je obnovován a bude brzy dostupný
Document has changed in storage. Loading the new document. Your version is available as revision.	Dokument byl v úložišti změněn. Načítá se nová verze, vaše verze bude dostupná jako revize.
Restoring older revision. Any unsaved changes will be available in version history	Obnovuje se starší revize. Veškeré neuložené změny budou dostupné v historii verzí.
Document has been changed in storage. What would you like to do with your unsaved changes?	Dokument byl v úložišti změněn. Co si přejete provést se svými neuloženými změnami?
Discard	Zahodit
Overwrite	Přepsat
Save to new file	Uložit do nového souboru
Document requires password to view.	Pro prohlížení dokumentu je vyžadováno heslo.
Document requires password to modify.	Pro úpravy dokumentu je vyžadováno heslo.
Hit Cancel to open in view-only mode.	Stisknutím Zrušit dokument otevřete v režimu jen pro čtení.
Wrong password provided. Please try again.	Chybné heslo. Zkuste ho zadat znovu.
Connecting...	Připojování...
Well, this is embarrassing, we cannot connect to your document. Please try again.	Toto je nepříjemné, nemůžeme se připojit k dokumentu. Zkuste to znovu.
No disk space left on server, please contact the server administrator to continue.	Nedostatek volného místa na serveru, pro pokračování se prosím obraťte na správce serveru.
The host URL is empty. The loolwsd server is probably misconfigured, please contact the administrator.	Hostitelská URL je prázdná. Loolwsd server je pravděpodobně nesprávně nakonfigurován, obraťte se prosím na správce.
This is an unsupported version of {productname}. To avoid the impression that it is suitable for deployment in enterprises, this message appears when more than {docs} documents or {connections} connections are in use concurrently	Toto je nepodporovaná verze {productname}. Protože není vhodná pro nasazení v podnikovém prostředí, zobrazuje se tato zpráva v případě, že je současně použito {docs} dokumentů nebo {connections} připojení.
More information and support	Další informace a podpora
This service is limited to %0 documents, and %1 connections total by the admin. This limit has been reached. Please try again later.	Tato služba je administrátorem omezena na %0 dokumentů a %1 spojení. Toto omezení bylo dosaženo. Zkuste to prosím znovu později.
Service is unavailable. Please try again later and report to your administrator if the issue persists.	Služba není dostupná. Prosím zkuste to později a v případě setrvání problému konktaktujte svého správce.
Unauthorized WOPI host. Please try again later and report to your administrator if the issue persists.	Neoprávněný WOPI hostitel. Zkuste to prosím později a v případě setrvání problému kontaktujte svého správce.
Wrong or missing WOPISrc parameter, please contact support.	Chybný nebo chybějící parametr WOPISrc, kontaktujte podporu.
Your session will expire in %time. Please save your work and refresh the session (or webpage) to continue.	Relace vyprší v %time. Pro pokračování prosím uložte Vaši práci a obnovte relaci (nebo webovou stránku).
Your session has been expired. Further changes to document might not be saved. Please refresh the session (or webpage) to continue.	Vaše relace vypršela. Další změny dokumentu nemusí být uloženy. Pro pokračování prosím obnovte relaci (nebo webovou stránku).
Failed to load the document. Please ensure the file type is supported and not corrupted, and try again.	Nepodařilo se načíst dokument. Ujistěte se prosím, že je tento typ souboru podporován a soubor není poškozen a zkuste to znovu.
Invalid link: '%url'	Neplatný odkaz: '%url'
You are leaving the editor, are you sure you want to visit %url?	Opouštíte editor, opravdu chcete navštívit %url?
Failed to load the document. This document is either malformed or is taking more resources than allowed. Please contact the administrator.	
Failed to load document.	Nepodařilo se načíst dokument.
Save failed due to no disk space left. Document will now be read-only.	Kvůli nedostatku místa na disku se dokument nepodařilo uložit. Dokument se zobrazí v režimu pouze pro čtení.
Document cannot be saved due to expired or invalid access token.	Dokument nelze uložit. Přístupový token vypršel nebo není platný.
Document cannot be saved.	Dokument nelze uložit.
Document cannot be renamed.	Dokument nelze přejmenovat.
Failed to read document from storage. Please contact your storage server (%storageserver) administrator.	Nepodařilo se načíst dokument. Prosím kontaktujte správce vašeho síťového úložiště (%storageserver).
Save failed due to no disk space left on storage server. Document will now be read-only. Please contact the server (%storageserver) administrator to continue editing.	Z důvodu nedostatku volného místa na serveru se nepodařilo dokument uložit. Dokument je nyní pouze pro čtení. Chcete-li pokračovat v úpravách, kontaktujte prosím správce síťového úložiště (%storageserver).
Document cannot be saved. Check your permissions or contact the storage server administrator.	Dokument nelze uložit. Ujistěte se, zda máte dostatečná oprávnění, nebo se obraťte na správce serveru.
Document cannot be renamed. Check your permissions or contact the storage server administrator.	Dokument nelze přejmenovat. Ujistěte se, zda máte dostatečná oprávnění, nebo se obraťte na správce serveru.
Uploading file to server failed, file not found.	
Uploading file to server failed, the file is too large.	
Accept change	Přijmout změnu
Reject change	Odmítnout změnu
Open menu	Otevřít nabídku
Reply	Odpověď
Show the search bar	Zrušit vyhledávání
Clear the search field	Zrušit vyhledávání
Hide the search bar	Zrušit vyhledávání
Modify	Změnit
Remove	Odstranit
Resolve	Vyřešit
To paste outside %productName, please first click the 'download' button	Při vkládání mimo %productName nejprve klikněte na tlačítko Stáhnout
Failed to download clipboard, please re-copy	Nepodařilo se stáhnout schránku, zkuste zkopírovat znovu
<p>Please use the copy/paste buttons on your on-screen keyboard.</p>	<p>Použijte tlačítka kopírovat/vložit na klávesnici na obrazovce.</p>
"<p>If you would like to share larger elements of your document with other applications it is necessary to first download them onto your device. To do that press the ""Start download"" button below, and when complete click ""Confirm copy to clipboard"".</p><p>If you are copy and pasting between documents inside %productName, there is no need to download.</p>"	<p>Pokud si přejete sdílet větší prvky dokumentu s jinou aplikací, je nezbytné je napřed stáhnout na vaše zařízení. K tomu slouží níže zobrazené tlačítko „Zahájit stahování“, po skončení klikněte na „Potvrdit kopírování do schránky“.</p><p>Jestliže kopírujete a vkládáte mezi dokumenty v rámci %productName, nic stahovat nepotřebujete.</p>
<p>A download due to a large copy/paste operation has already started. Please, wait for the current download or cancel it before starting a new one</p>	<p>Stahování za účelem rozsáhlého kopírování/vkládání již začalo. Počkejte na jeho dokončení, nebo ho před zahájením nového nejprve zrušte.</p>
Initializing...	Inicializace...
%d seconds ago	před %d sekundami
%d minutes ago	před %d minutami
Inactive document - please click to resume editing	Dokument je neaktivní - pro pokračování v úpravách klikněte
Loading...	Načítání...
The file of type: %0 can not be uploaded to server since the file has no name	
The file of type: %0 can not be uploaded to server since the file is empty	
Uploading...	Nahrávání...
Uploading file to server failed with status: %0	
Creating new file from template...	Vytváří se nový soubor ze šablony ...
Creating copy...	Vytváření kopie...
Mobile Wizard	Mobilní průvodce
Function	Funkce
Accept	Přijmout

