"source"	"target"
"An error occurred while running the %LANGUAGENAME script %SCRIPTNAME."	"Ocorreu um erro durante a execução do script %LANGUAGENAME %SCRIPTNAME."
"An error occurred while running the wizard. The wizard will be terminated."	"Ocorreu um erro durante a execução do Assistente. O Assistente será encerrado."
"An error occurred while scanning."	"Ocorreu um erro ao digitalizar."
"An error occurred while this control was being loaded. It was therefore replaced with a placeholder."	"Erro ao carregar este controle. Por isso, ele foi substituído por um atalho."
"An error occurred while writing installation information to disk.  Check to make sure enough disk space is available, and click Retry, or Cancel to end the installation."	"Ocorreu um erro durante a gravação das informações de instalação no disco.  Verifique se existe espaço em disco disponível e clique em Tentar novamente, ou clique em Cancelar para finalizar a instalação."
"An error occurred while writing the form controls. The form layer has not been saved."	"Ocorreu um erro durante a gravação de controles de formulário. A camada de formulário não foi salva."
"An error occurred:"	"Ocorreu um erro:"
"An error occurred. Do you want to continue copying?"	"Ocorreu um erro. Deseja continuar copiando?"
"An exception occurred $(ARG1)."	"Ocorreu uma exceção $(ARG1)."
"An exception occurred while running the %LANGUAGENAME script %SCRIPTNAME at line: %LINENUMBER."	"Ocorreu uma exceção durante a execução do script %LANGUAGENAME %SCRIPTNAME na linha: %LINENUMBER."
"An exception occurred while running the %LANGUAGENAME script %SCRIPTNAME."	"Ocorreu uma exceção durante a execução do script %LANGUAGENAME %SCRIPTNAME."
"An exception of type $type$ was caught."	"Ocorreu uma falha do tipo $type$."
"An expression that can be either TRUE or FALSE."	"Uma expressão que pode ser tanto VERDADEIRO quanto FALSO."
"An input/output error occurred while exporting the document '%FILENAME'."	"Ocorreu um erro de entrada/saída ao exportar o documento '%FILENAME'."
"An installation for [2] is currently suspended.  You must undo the changes made by that installation to continue.  Do you want to undo those changes?"	"Uma instalação do [2] está suspensa no momento.  É necessário desfazer as alterações feitas por essa instalação para prosseguir.  Deseja desfazer essas alterações?"
"An integer between 1 and 12 representing the month."	"Um número inteiro entre 1 e 12 que represente o mês."
"An integer between 1 and 31 representing the day of the month."	"Um número inteiro entre 1 e 31 que represente o dia do mês."
"An integer between 1583 and 9956 or 0 and 99 (19xx or 20xx depending on the defined option)."	"Um número inteiro entre 1583 e 9956 ou 0 e 99 (19xx ou 20xx, dependendo da opção definida)."
"An integer between 1583 and 9956, or 0 and 99 (19xx or 20xx depending on the option set)."	"Um número inteiro entre 1583 e 9956 ou 0 e 99 (19xx ou 20xx, dependendo da opção definida)."
"An internal error occurred."	"Ocorreu um erro interno."
"An invalid attempt was made to access the file."	"Foi feita uma tentativa inválida de acessar o arquivo."
"An invalid window was passed when activated."	"Uma janela inválida foi transferida durante a ativação."
"An object cannot be copied into itself."	"Um objeto não pode ser copiado para si mesmo."
"An older version of [ProductName] was found. To install a newer version, the older version needs to be removed first."	"Uma versão mais antiga do [ProductName] foi encontrada. Para instalar uma versão mais nova, é necessário primeiro remover a versão mais antiga."
"An option must be confirmed."	"Uma opção deve ser confirmada."
"An unexpected error has occurred in the wizard."	"Ocorreu um erro inesperado no Assistente."
"An unexpected error occurred while opening the agenda template."	"Ocorreu um erro inesperado ao abrir o modelo da agenda."
"An unexpected error occurred while saving the agenda template."	"Ocorreu um erro inesperado ao salvar o modelo da agenda."
"An unexpected error occurred while validating the file: '%FILENAME'"	"Ocorreu um erro inesperado ao validar o arquivo: '%FILENAME'"
"An unexpected error occurred: %ERROR"	"Ocorreu um erro inesperado: %ERROR"
"An unexpected error occurred."	"Ocorreu um erro inesperado."
"An unexpected error occurred. The operation could not be performed."	"Ocorreu um erro inesperado. Não foi possível executar a operação."
"An unknown error has occurred."	"Ocorreu um erro desconhecido."
"An unknown error occurred."	"Ocorreu um erro desconhecido."
"An unknown error occurred. The search could not be finished."	"Ocorreu um erro desconhecido. Não foi possível concluir a pequisa."
"An unknown I/O error has occurred."	"Ocorreu um erro desconhecido de E/S."
"An unlinked graphic could not be loaded."	"Não foi possível carregar um gráfico desvinculado."
"An unrecoverable error has occurred.  All modified files have been saved and can probably be recovered at program restart."	"Ocorreu um erro irreparável.  Todos os dados modificados foram salvos e poderão provavelmente ser recuperados quando o programa for reiniciado."
"An XML filter with the name '%s' already exists. Please enter a different name."	"Já existe um filtro XML com o nome '%s'. Digite um nome diferente."
"Analysis of Variance"	"Análise de variância"
"Analysis of Variance (ANOVA)"	"Análise de variância (ANOVA)"
"Analysis of Variance (ANOVA)..."	"Análise da variância (ANOVA)..."
"Analyze SQL command"	"Analisar comando SQL"
"Anatolian Hieroglyphs"	"Hieróglifos anatolianos"
"Anchor"	"Âncora"
"anchor"	"âncora"
"Anchor"	"Âncora de objetos"
"Anchor"	"Ancorar"
"Anchor"	
"Anchor as Character"	"Ancorar como caractere"
"Anchor to Character"	"Ancorar no caractere"
"Anchor To Frame"	"Ancorar no quadro"
"Anchor To Page"	"Ancorar na página"
"Anchor To Paragraph"	"Ancorar no parágrafo"
"Anchor: To Cell"	"Ancorar: Na célula"
"Anchor: To Page"	"Ancorar: Na página"
"Anchor..."	
"Anchor<->Text"	"Âncora <-> Texto"
"Ancient Greek Musical Notation"	"Notação musical grega antiga"
"Ancient Greek Numbers"	"Números gregos antigos"
"Ancient Symbols"	"Símbolos antigos"
"AND"	"AND"
"and"	"e"
"AND"	"E"
"and "	"e "
"and then"	"e em seguida"
"angel"	"anjo"
"anger"	"cólera"
"Angle"	"Ângulo"
"angle"	"ângulo"
"Angle Brackets"	"Parênteses angulares"
"Angle Brackets (Scalable)"	"Parênteses angulares (dimensionáveis)"
"Angle control"	"Controle de ângulo"
"Angle for the automatic positioning of the dimension value"	"Ângulo para o posicionamento automático do valor da cota"
"Angle of the dimension value"	"Ângulo do valor da cota"
"Angle:"	"Ângulo:"
"angle2"	"ângulo 2"
"Angled Connector Line"	"Linha conectora com ângulo"
"Angled Line"	"Linha com ângulo"
"angry"	"zangado"
"anguished"	"angustiado"
"Animals"	"Animais"
"Animate as part of click sequence"	"Animar como parte da sequência de cliques"
"Animate attached shape"	"Animar forma anexada"
"Animated Image..."	"Figura animada..."
"Animation"	"Animação"
"Animation cycles:"	"Ciclos de animação:"
"Animation group"	"Grupo de animação"
"Animation parameters"	"Parâmetros da animação"
"Animation Schemes..."	"Esquemas de animação..."
"Animations"	"Animações"
"Animations allowed"	"Permitir animações"
"ankh"	"ankh"
"Annotation"	"Anotação"
"Annual volatility of the asset"	"Volatilidade anual do ativo"
"Annual volatility of the underlying asset"	"Volatilidade anual do ativo mobilizado"
"Anonymous user"	"Usuário anônimo"
"Another application has exclusive access to the file [2].  Please shut down all other applications, then click Retry."	"Outro aplicativo tem acesso exclusivo ao arquivo [2].  Feche todos os outros aplicativos e, em seguida, clique em Tentar novamente."
"Another complex number"	"Outro número complexo"
"Another data source already has this name. As data sources have to have globally unique names, you need to choose another one."	"Já existe outra fonte de dados com esse nome. Fontes de dados precisam ter nomes únicos no sistema. Escolha outro nome."
"Another data source already has this name. As data sources have to have globally unique names, you need to choose another one."	"Já existe uma fonte de dados com este nome. Como as fontes de dados têm de ter nomes exclusivos, escolha outro nome."
"Another installation is in progress. You must complete that installation before continuing this one."	"Há outra instalação em andamento. Conclua a instalação antas de prosseguir com esta."
"ANOVA - Single Factor"	"ANOVA - Fator único"
"ANOVA - Two Factor"	"ANOVA - Dois fatores"
"ant"	"formiga"
"Any"	"Qualquer"
"any"	"qualquer"
"Any day in the desired month"	"Qualquer dia no mês desejado"
"Any day in the desired year"	"Qualquer dia no ano desejado"
"Any except extracting pages"	"Qualquer, exceto extrair páginas"
"Any record"	"Qualquer registro"
"Any type"	"Qualquer tipo"
"Any value or expression which can be either TRUE or FALSE."	"Qualquer valor que possa ser, ou expressão que possa resultar, em VERDADEIRO ou FALSO."
"anywhere in the field"	"em qualquer posição no campo"
"Apartment number"	"Número do apartamento"
"Apatani"	"Apatani"
"Aperture"	"Abertura"
"Apostrophe"	"Apóstrofo"
"Apparent dimensions:"	"Dimensões aparentes:"
"Appear"	"Aparecer"
"Appearance"	"Aparência"
"Append data"	"Anexar dados"
"Append Sheet"	"Acrescentar planilha"
"Append sheet"	"Anexar planilha"
"Append Sheet"	"Anexar planilha"
"Append space"	"Acrescentar espaço"
"Append the table alias name on SELECT statements"	"Acrescentar nome do alias da tabela às instruções SELECT"
"AppId: [1]{{, AppType: [2], Users: [3], RSN: [4]}}"	"AppId: [1]{{, AppType: [2], Usuários: [3], RSN: [4]}}"
"AppId: [1]{{, AppType: [2]}}"	"Id do aplicativo: [1]{{, Tipo do aplicativo: [2]}}"
"apple"	"maçã"
"Apple Keynote 5"	"Apple Keynote 5"
"Apple Numbers 2"	"Apple Numbers 2"
"Apple Pages 4"	"Apple Pages 4"
"Apple/SGI Audio"	"Áudio Apple/SGI"
"Applet object"	"Objeto de mini-aplicativo"
"Application"	"Aplicação"
"Application"	"Aplicativo"
"Application ["	"O aplicativo ["
"Application background"	"Plano de fundo do aplicativo"
"Application Colors"	"Cores da aplicação"
"Application:"	"Aplicativo:"
"Application: [1]"	"Aplicativo: [1]"
"Application: [1], Command line: [2]"	"Aplicativo: [1], Linha de comando: [2]"
"Applied Paragraph Styles"	"Estilos de parágrafo aplicados"
"Applied Styles"	"Estilos aplicados"
"Applies a Style to the formula cell."	"Aplica um estilo para a célula de fórmula."
"Apply"	"Aplicar"
"Apply 3D favorite"	"Aplicar efeito 3D favorito"
"Apply a heading paragraph style to the headings in your Writer document. The Wiki will show the heading styles of the same outline level, formatted as defined by the Wiki engine."	"Aplica um estilo de parágrafo de título para os títulos de seu documento Writer. O Wiki mostrará os estilos de títulos com a mesma estrutura de tópicos, formatado de acordo com os padrões do servidor Wiki."
"Apply an XPath expression to an XML document"	"Aplica uma expressão XPath a um documento XML"
"Apply and Edit Changes"	"Aplicar e editar alterações"
"Apply attributes"	"Aplicar atributos"
"Apply attributes to %1"	"Aplicar atributos a %1"
"Apply border"	"Aplicar borda"
"Apply border and shadow"	"Aplicar borda e sombra"
"Apply Cell Style"	"Aplicar estilo de célula"
"Apply changes to current presentation"	"Aplicar as alterações na apresentação atual"
"Apply color scheme from document"	"Aplicar esquema de cores do documento"
"Apply column name"	"Aplicar nome da coluna"
"Apply columns"	"Aplicar colunas"
"Apply Document Classification"	
"Apply Extrusion On/Off"	"Ativar/Desativar aplicação de extrusão"
"Apply field format"	"Aplicar formato de campo"
"Apply Filter"	"Aplicar filtro"
"Apply Fontwork Alignment"	"Aplicar alinhamento do Fontwork"
"Apply Fontwork Character Spacing"	"Aplicar espaçamento de caracteres do Fontwork"
"Apply Fontwork Same Letter Heights"	"Aplicar as mesmas alturas de letras do Fontwork"
"Apply Fontwork Shape"	"Aplicar forma do Fontwork"
"Apply Form-Based Filter"	"Aplicar filtro baseado em formulário"
"Apply frame style: $1"	"Aplicar estilo de quadro: $1"
"Apply list of forbidden characters to beginning and end of lines"	"Aplicar lista de caracteres proibidos ao início e ao fim das linhas"
"Apply list of forbidden characters to the beginning and end of lines"	"Aplicar lista de caracteres proibidos ao início e ao final das linhas"
"Apply numbering - symbol: "	"Aplicar numeração - símbolo: "
"Apply Object"	"Aplicar objeto"
"Apply Objects Individually"	"Aplicar objetos individualmente"
"Apply Page Style"	"Aplicar estilo de página"
"Apply Paragraph Style"	"Aplicar estilo de parágrafo"
"Apply presentation layout"	"Aplicar layout da apresentação"
"Apply replacement table"	"Aplicar tabela de substituição"
"Apply spacing between Asian, Latin and complex text"	"Aplicar espaçamento entre textos asiáticos, latinos e complexos"
"Apply spacing between Asian, Latin and Complex text"	"Aplicar espaçamento entre textos asiáticos, latinos e complexos"
"Apply Style"	"Aplicar estilo"
"Apply Styles"	"Aplicar estilos"
"Apply styles"	"Aplicar estilos"
"Apply Styles to %1"	"Aplicar estilos a %1"
"Apply Styles: $1"	"Aplicar estilos: $1"
"Apply table attributes"	"Aplicar atributos de tabela"
"Apply the style of your form"	"Aplique o estilo do seu formulário"
"Apply those settings to current document only"	"Aplicar estas configurações apenas ao documento ativo"
"Apply to"	"Aplicar a"
"Apply to All"	"Aplicar a todos"
"Apply to all similar texts"	"Aplicar a todos os textos semelhantes."
"Apply to All Slides"	"Aplicar a todos os slides"
"Apply to Selected Slides"	"Aplicar aos slides selecionados"
"Apply to selected slides"	"Aplicar aos slides selecionados"
"Apply to:"	"Aplicar a:"
"Apply Transition to All Slides"	"Aplicar transição a todos os slides"
"Apply user data"	"Utilizar os dados do usuário"
"Applying Theme..."	"Aplicando o tema..."
"AppraisedValue"	"ValorAvaliado"
"AppraisVal"	"ValAval"
"Approve action"	"Ao aprovar ação"
"Approve action"	"Aprovar ação"
"aqua"	"aqua"
"aqua|cyan"	"ciano"
"Aquarius"	"Aquário"
"Arabic"	"Árabe"
"ARABIC"	"ÁRABE"
"Arabic"	"Arábico"
"Arabic (1 2 3)"	"Arábico (1 2 3)"
"Arabic (Algeria)"	"Árabe (Argélia)"
"Arabic (Bahrain)"	"Árabe (Barein)"
"Arabic (Chad)"	"Árabe (Chade)"
"Arabic (Comoros)"	"Árabe (Comoros)"
"Arabic (Djibouti)"	"Árabe (Djibuti)"
"Arabic (DOS/OS2-864)"	"Árabe (DOS/OS2-864)"
"Arabic (Egypt)"	"Árabe (Egito)"
"Arabic (Eritrea)"	"Árabe (Eritreia)"
"Arabic (Iraq)"	"Árabe (Iraque)"
"Arabic (ISO-8859-6)"	"Árabe (ISO-8859-6)"
"Arabic (Israel)"	"Árabe (Israel)"
"Arabic (Jordan)"	"Árabe (Jordânia)"
"Arabic (Kuwait)"	"Árabe (Kuwait)"
"Arabic (Lebanon)"	"Árabe (Líbano)"
"Arabic (Libya)"	"Árabe (Líbia)"
"Arabic (Mauritania)"	"Árabe (Mauritânia)"
"Arabic (Morocco)"	"Árabe (Marrocos)"
"Arabic (Oman)"	"Árabe (Omã)"
"Arabic (Palestine)"	"Árabe (Palestina)"
"Arabic (Qatar)"	"Árabe (Catar)"
"Arabic (Saudi Arabia)"	"Árabe (Arábia Saudita)"
"Arabic (Somalia)"	"Árabe (Somália)"
"Arabic (Sudan)"	"Árabe (Sudão)"
"Arabic (Syria)"	"Árabe (Síria)"
"Arabic (Tunisia)"	"Árabe (Tunísia)"
"Arabic (UAE)"	"Árabe (EAU)"
"Arabic (Windows-1256)"	"Árabe (Windows-1256)"
"Arabic (Yemen)"	"Árabe (Iêmen)"
"Arabic Extended"	"Árabe estendido"
"Arabic Extended-A"	"Árabe estendido-A"
"Arabic Mathematical Alphabetic Symbols"	"Símbolos alfabéticos matemáticos árabes"
"Arabic Presentation Forms-A"	"Formas de apresentação arábica-A"
"Arabic Presentation Forms-B"	"Formas de apresentação arábica-B"
"Arabic spelling dictionary, and thesaurus"	"Dicionário ortográfico e sinônimos em árabe"
"Arabic spelling dictionary, and thesaurus"	"Dicionário ortográfico, sinônimos e regras de hifenização em árabe"
"Arabic Supplement"	"Suplemento Árabe"
"Aragonese"	"Aragonês"
"Aragonese spelling dictionary"	"Dicionário ortográfico em aragonês"
"Aranese"	"Aranês"
"Arc"	"Arco"
"Arc Down"	"Arco para baixo"
"Arc Left"	"Arco para a esquerda"
"Arc Right"	"Arco para a direita"
"Arc Up"	"Arco para cima"
"Arccosine"	"Arco de coseno"
"Arccosine"	"Arco de cosseno"
"Arccotangent"	"Arco de cotangente"
"Arch Down (Curve)"	"Arquear para baixo (curva)"
"Arch Down (Pour)"	"Arquear para baixo (sólido)"
"Arch Left (Curve)"	"Arquear para a esquerda (curva)"
"Arch Left (Pour)"	"Arquear para a esquerda (sólido)"
"Arch Right (Curve)"	"Arquear para a direita (curva)"
"Arch Right (Pour)"	"Arquear para a direita (sólido)"
"Arch Up (Curve)"	"Arquear para cima (curva)"
"Arch Up (Pour)"	"Arquear para cima (sólido)"
"Architecture - bathroom, kitchen"	"Arquitetura - banheiro, cozinha"
"Architecture - buildings"	"Arquitetura - construções"
"Architecture - furniture"	"Arquitetura - mobiliário"
"Architecture - furnitures"	"Arquitetura - mobília"
"Architecture - kitchen"	"Arquitetura - cozinha"
"Architecture - overlay"	"Arquitetura - sobreposição"
"Architecture - windows, doors"	"Arquitetura - janelas, portas"
"Archive file"	"Arquivo morto"
"Archive PDF/A-1a (ISO 19005-1)"	"Arquivo PDF/A-1a (ISO 19005-1)"
"Archives"	"Arquivos"
"Arcs"	"Arcos"
"Arcsine"	"Arco de seno"
"Arctangent"	"Arco de tangente"
"Are you sure to delete the image?"	"Deseja excluir a imagem?"
"Are you sure you want to cancel [ProductName] installation?"	"Deseja realmente cancelar a instalação do [ProductName]?"
"Are you sure you want to cancel the %PRODUCTNAME document recovery?"	"Tem certeza de que deseja cancelar a recuperação de documento do %PRODUCTNAME?"
"Are you sure you want to cancel?"	"Tem certeza de que deseja cancelar?"
"Are you sure you want to continue?"	"Deseja realmente continuar?"
"Are you sure you want to delete the '%MENUNAME' menu?"	"Tem certeza de que deseja excluir o menu '%MENUNAME'?"
"Are you sure you want to delete the bitmap?"	"Tem certeza que deseja excluir o bitmap?"
"Are you sure you want to delete the entry ""$1""?"	"Tem certeza de que deseja excluir a entrada ""$1""?"
"Are you sure you want to delete the footer?"	"Deseja realmente excluir o rodapé?"
"Are you sure you want to delete the header?"	"Deseja realmente excluir o cabeçalho?"
"Are you sure you want to delete the level ""$""? Note: All objects on this level will be deleted!"	"Tem certeza de que deseja excluir o nível ""$""? Nota: Todos os objetos neste nível serão excluídos!"
"Are you sure you want to delete the region ""$1""?"	"Tem certeza de que deseja excluir a categoria ""$1""?"
"Are you sure you want to delete the selected data?"	"Deseja realmente excluir os dados selecionados?"
"Are you sure you want to delete the selected scenario?"	"Deseja realmente excluir o cenário selecionado?"
"Are you sure you want to delete the selected sheet(s)?"	"Deseja realmente excluir a(s) planilha(s) selecionada(s)?"
"Are you sure you want to delete the service? ""$servicename$"""	"Deseja realmente excluir o serviço? ""$servicename$"""
"Are you sure you want to discard the %PRODUCTNAME document recovery data?"	"Tem certeza de que deseja descartar os dados de recuperação de documento do %PRODUCTNAME?"
"Are you sure you want to remove the selected link?"	"Deseja remover o vínculo selecionado?"
"Area"	"Área"
"Area attributes"	"Atributos da área"
"Area Hyperbolic Cosine"	"Arco de cosseno hiperbólico"
"Area Hyperbolic Cotangent"	"Arco de cotangente hiperbólica"
"Area Hyperbolic Sine"	"Arco de seno hiperbólico"
"Area Hyperbolic Tangent"	"Arco de tangente hiperbólica"
"Area Style / Filling"	"Estilo de área / preenchimento"
"Area Transparency Mode"	"Modo de transparência da área"
"Area:"	"Área:"
"Area..."	"Área..."
"AREAS"	"ÁREAS"
"Argument is not optional."	"O argumento não é opcional."
"Aries"	"Aires"
"Armenian"	"Armênio"
"Arpitan (France)"	"Arpitan (França)"
"Arpitan (Italy)"	"Arpitan (Itália)"
"Arpitan (Switzerland)"	"Arpitan (Suíça)"
"Arrange"	"Dispor"
"Arrange"	"Organizar"
"Arrange %1 in circle"	"Dispor %1 em Círculo"
"Arrange controls"	"Dispor controles"
"Arrange the controls on your form"	"Disponha os controles no seu formulário"
"Arrangement"	"Disposição"
"Arrangement of DB fields"	"Disposição dos campos do banco de dados"
"Arrangement of the main form"	"Disposição do formulário principal"
"Arrangement of the subform"	"Disposição do subformulário"
"Array"	"Matriciais"
"Array"	"Matricial"
"array"	"matriz"
"Array "	"Matriz "
"Array 1, array 2, ... are up to 30 arrays whose arguments are to be multiplied."	"Matriz 1, matriz 2, ... são até 30 matrizes cujos argumentos serão multiplicados."
"Array already dimensioned."	"Matriz já dimensionada."
"Array column"	"Coluna da matriz"
"Array column:"	"Coluna da matriz:"
"Array formula  %1 R x %2 C"	"Fórmula da matriz  %1 L x %2 C"
"Array multiplication. Returns the product of two arrays."	"Multiplicação de matrizes. Retorna o produto de duas matrizes."
"Array must be dimensioned."	"A matriz deve estar dimensionada."
"Array or procedure $(ARG1) not found."	"Matriz ou procedimento $(ARG1) não foram encontrados."
"Array row"	"Linha da matriz"
"Array row:"	"Linha da matriz:"
"Array transposition. Exchanges the rows and columns of an array."	"Transposição de matriz. Permuta as linhas e colunas de uma matriz."
"array1"	"matriz 1"
"array2"	"matriz 2"
"arrayx"	"matrizx"
"arrayy"	"matrizy"
"ArrivalDate"	"DataChegada"
"ArrivalTime"	"HoraChegada"
"ArrivlDate"	"DataCheg"
"ArrivlTime"	"HoraCheg"
"Arrow"	"Seta"
"Arrow concave"	"Seta côncava"
"Arrow Shapes"	"Formas de seta"
"Arrow Style"	"Estilo de seta"
"Arrow style:"	"Estilo de seta:"
"Arrow Styles"	"Estilos de seta"
"Arrow styles"	"Estilos de seta"
"Arrow:"	"Seta:"
"Arrowhead"	"Pontas das setas"
"Arrowheads"	"Pontas das setas"
"Arrows"	"Setas"
"art"	"paleta"
"Article"	"Artigo"
"Artificial Turf"	"Gramado artificial"
"Artist"	"Artista"
"As"	"Como"
"As a general rule, you are recommended to install ${PRODUCTNAME} via the installation methods recommended by your particular Linux distribution (such as the Ubuntu Software Center, in the case of Ubuntu Linux). This is because it is usually the simplest way to obtain an installation that is optimally integrated into your system. Indeed, ${PRODUCTNAME} may well be already installed by default when you originally install your Linux operating system."	"Via de regra, recomendamos instalar o ${PRODUCTNAME} pelos métodos de instalação recomendados pela sua distribuição Linux (tal como o Ubuntu Software Center, para o Ubuntu Linux). É por que costuma ser a maneira mais simples de obter uma instalação que seja integrada de forma otimizada no seu sistema. Pode ser que o ${PRODUCTNAME} já esteja instalado desde o momento que seu sistema operacional Linux foi instalado originalmente."
"As a user, you are already a valuable part of the suite's development process and we would like to encourage you to take an even more active role with a view to being a long-term contributor to the community. Please join and check out the contributing page at <a href=""http://www.libreoffice.org/contribution/"">http://www.libreoffice.org/contribution/</a>"	"Como usuário, você já é parte valiosa do processo de desenvolvimento da suíte e gostaríamos de convida-lo a participar mais ativamente de forma a se tornar um contribuinte de longo prazo da comunidade. Junte-se a nós e verifique a página de contribuições em  <a href=""http://www.libreoffice.org/contribution/"">http://www.libreoffice.org/contribution/</a>"
"As Character"	"Como caractere"
"As character"	"Como caractere"
"As Data Sheet"	"Como planilha de dados"
"As Link"	"Como vínculo"
"As one object"	"Como um objeto"
"As Page Style"	"Como estilo de página"
"As stated in document"	"Como estabelecido no documento"
"As table view"	"Como exibição de tabela"
"As:"	"Como:"
"ASC"	"ASC"
"Ascend"	"Subir"
"Ascending"	"Crescente"
"ascending"	"crescente"
"ASCII Filter Options"	"Opções de Filtro ASCII"
"Asian"	"Asiático"
"Asian characters and Korean syllables"	"Caracteres asiáticos e sílabas coreanas"
"Asian font"	"Fonte asiática"
"Asian Layout"	"Layout asiático"
"Asian layout mode"	"Modo de layout asiático"
"Asian Phonetic Guide"	"Guia fonético asiático"
"Asian phonetic guide..."	"Guia fonético asiático..."
"Asian Text Font"	"Fonte de texto asiático"
"Asian text font"	"Fonte de texto asiático"
"Asian text: "	"Texto asiático: "
"Asian Typography"	"Tipografia asiática"
"Asian:"	"Asiático:"
"ASIN"	"ASEN"
"ASINH"	"ASENH"
"Ask when linking a graphic"	"Perguntar ao vincular uma figura"
"Ask when not saving in ODF or default format"	"Perguntar se o formato não é ODF ou formato padrão"
"Assamese"	"Assamês"
"AssetCategoryID"	"IDCategoriaAtivo"
"AssetCatID"	"IDCatAtivo"
"AssetID"	"IDAtivo"
"Assets"	"Ativos"
"Assign"	"Atribuir"
"Assign Action"	"Atribuir ação"
"Assign action"	"Atribuir ação"
"Assign aliases if desired"	"Atribua alias se desejar"
"Assign background page"	"Atribuir página de fundo"
"Assign columns"	"Atribuir colunas"
"Assign Component"	"Atribuir componente"
"Assign Design"	"Atribuir design"
"Assign ID"	"Atribuir ID"
"Assign Macro"	"Atribuir macro"
"Assign Macro..."	"Atribuir macro..."
"Assign Names"	"Atribuir nomes"
"Assign Styles"	"Atribuir estilos"
"Assign styles..."	"Atribuir estilos..."
"Assign the fields from your data source to match the address elements."	"Atribua os campos da sua fonte de dados de forma que correspondam aos elementos de endereço."
"Assign the fields from your data source to match the salutation elements."	"Atribua os campos da sua fonte de dados de forma que correspondam aos elementos de saudação."
"Assign:"	"Atribuir:"
"Assign..."	"Atribuir..."
"Assigned Action"	"Ação atribuída"
"Assigned folders and archives"	"Pastas e arquivos atribuídos"
"Assigned start parameters"	"Parâmetros de lançamento atribuídos"
"Assignment"	"Atribuição"
"Assignments"	"Atribuições"
"Assume Non-Negative Variables"	"Assumir variáveis não negativas"
"Assume variables as integer"	"Assumir variáveis como inteiros"
"Assume variables as non-negative"	"Assumir variáveis como não negativas"
"Assume zero"	"Assumir zero"
"astonished"	"surpreendido"
"Asturian"	"Asturiano"
"at"	"em"
"At axis"	"No eixo"
"At axis and labels"	"Nos eixos e nos rótulos"
"at bottom"	"embaixo"
"At labels"	"Nos rótulos"
"At least"	"No mínimo"
"At present, no TWAIN source is available."	"No momento, não há uma fonte TWAIN disponível."
"at the left"	"à esquerda"
"at the right"	"à direita"
"at top"	"em cima"
"at:"	"em:"
"ATAN"	"ATAN"
"ATAN2"	"ATAN2"
"ATANH"	"ATANH"
"atm"	"caixa eletrônico"
"atom"	"átomo"
"Attachments"	"Anexos"
"Attachments:"	"Anexos:"
"Attendees"	"Participantes"
"Attribute"	"Atributo"
"Attributes"	"Atributos"
"Attributes changed"	"Atributos alterados"
"Attributes:"	"Atributos:"
"Attributes..."	"Atributos..."
"Attributes/Lines"	"Atributos / Linhas"
"AU - Sound File"	"Formato AU - Arquivo de áudio"
"Audio"	"Áudio"
"Audio file"	"Arquivo de áudio"
"Audio Interchange File Format"	"Formato AIFF (Audio Interchange File Format)"
"Audio or Video..."	"Áudio ou vídeo..."
"Audio..."	"Áudio..."
"Austrian Schilling"	"Xelim austríaco"
"Authentication Request"	"Pedido de autenticação"
"Authentication request"	"Pedido de autenticação"
"Authentication Required"	"Autenticação obrigatória"
"AUTHOR"	"AUTHOR"
"Author"	"Autor"
"Author:"	"Autor:"
"Author: "	"Autor: "
"Author(s)"	"Autor(es)"
"AuthorID"	"IDAutor"
"Authors"	"Autores"
"Auto"	"Automático"
"Auto close brackets, parentheses and braces"	"Autofechamento de parênteses, colchetes e chaves"
"Auto External (Display %1)"	"Automático externo (Tela %1)"
"Auto grow shape to fit text"	"Crescer forma automaticamente para encaixar o texto"
"Auto line length"	"Comprimento automático da linha"
"Auto text wrap"	"Disposição automática do texto"
"Auto value"	"Valor automático"
"Auto-increment statement"	"Instrução de autoincremento"
"Auto-increment statement:"	"Instrução de autoincremento:"
"Auto..."	"Automático..."
"AutoAbstract to Presentation..."	"Autorresumo para apresentação..."
"AutoCAD File"	"Arquivo AutoCAD"
"AutoCAD Import"	"Importação de AutoCAD"
"AutoCAD Import Filter"	"Filtro para importação AutoCAD"
"AutoCalculate"	"Autocalcular"
"AutoCapitalize entries"	"Autocapitalizar entradas"
"AutoCaption"	"Autolegendas"
"Autoclose parenthesis"	"Autofechamento de parênteses"
"Autoclose Parenthesis"	"Autofechamento de parênteses"
"Autoclose procedures"	"Autofechamento de procedimentos"
"Autoclose Procedures"	"Autofechamento de procedimentos"
"Autoclose quotes"	"Autofechamento de aspas"
"Autoclose Quotes"	"Autofechamento de aspas"
"AutoContour"	"Autocontorno"
"AutoCorrect"	"Autocorreção"
"AutoCorrect completed. You can accept or reject all changes, or accept or reject particular changes."	"A autocorreção foi concluída. Você pode aceitar ou rejeitar todas as alterações, ou apenas alterações específicas."
"AutoCorrect Options..."	"Opções da autocorreção..."
"AutoCorrect To"	"Autocorrigir para"
"Autocorrection"	"Autocorreção"
"AutoFill"	"Autopreenchimento"
"AutoFill Data Series: automatic"	"Autopreenchimento de série de dados: automática"
"AutoFilter"	"Autofiltro"
"AutoFilter not possible"	"Não é possível ativar o autofiltro"
"AutoFit"	"Autoajustar"
"Autofit"	"Autoajustar"
"AutoFit frame height"	"Autoajustar altura do quadro"
